Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,24 Sep 2003 a
Albania,,22 Jan 2002 a
Algeria,,18 Dec 1996 a
Andorra,,23 Sep 2004 a
Antigua and Barbuda,,6 Aug 1986 a
Argentina,,18 Sep 1991 a
Armenia,,16 Mar 2004 a
Australia,,21 May 1990 a
Austria,3 Oct 1980,22 Aug 1986
Azerbaijan,,29 Feb 2000 a
Bahamas,,4 Jun 1981 a
Bahrain,,16 Sep 2005 a
Bangladesh,,20 May 2005 a
Barbados,,9 Mar 1981 a
Belarus,,1 Jul 1987 a
Belgium,3 Jan 1980,16 Apr 1999
Belize,,14 Nov 2001 a
Benin,,31 Jul 2003 a
Bhutan,,31 Aug 1981 a
Bolivia (Plurinational State of),25 Mar 1980,7 Jan 2002
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,8 Sep 2000 a
Brazil,,8 Mar 2000 a
Brunei Darussalam,,18 Oct 1988 a
Bulgaria,,10 Mar 1988 a
Burkina Faso,,1 Oct 2003 a
Cambodia,,27 Jul 2006 a
Cameroon,,9 Mar 1988 a
Canada,18 Feb 1980,4 Dec 1985
Cape Verde,,10 Sep 2002 a
Central African Republic,,9 Jul 2007 a
Chad,,1 Nov 2006 a
Chile,3 Jan 1980,12 Nov 1981
China,,26 Jan 1993 a
Colombia,,14 Apr 2005 a
Comoros,,25 Sep 2003 a
Costa Rica,,24 Jan 2003 a
Cote d'Ivoire,,22 Aug 1989 a
Croatia,,23 Sep 2003 d
Cuba,,15 Nov 2001 a
Cyprus,,13 Sep 1991 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,12 Nov 2001 a
Democratic Republic of the Congo,2 Jul 1980,
Denmark,,11 Aug 1987 a
Djibouti,,1 Jun 2004 a
Dominica,,9 Sep 1986 a
Dominican Republic,12 Aug 1980,3 Oct 2007
Ecuador,,2 May 1988 a
Egypt,18 Dec 1980,2 Oct 1981
El Salvador,10 Jun 1980,12 Feb 1981
Equatorial Guinea,,7 Feb 2003 a
Estonia,,8 Mar 2002 a
Ethiopia,,16 Apr 2003 a
Fiji,,15 May 2008 a
Finland,29 Oct 1980,14 Apr 1983
France,,9 Jun 2000 a
Gabon,29 Feb 1980,19 Apr 2005
Georgia,,18 Feb 2004 a
Germany,18 Dec 1979,15 Dec 1980
Ghana,,10 Nov 1987 a
Greece,18 Mar 1980,18 Jun 1987
Grenada,,10 Dec 1990 a
Guatemala,30 Apr 1980,11 Mar 1983
Guinea,,22 Dec 2004 a
Guinea-Bissau,,6 Aug 2008 a
Guyana,,12 Sep 2007 a
Haiti,21 Apr 1980,17 May 1989
Honduras,11 Jun 1980,1 Jun 1981
Hungary,,2 Sep 1987 a
Iceland,,6 Jul 1981 a
India,,7 Sep 1994 a
Iran (Islamic Republic of),,20 Nov 2006 a
Iraq,14 Oct 1980,
Ireland,,30 Jun 2005 a
Israel,19 Nov 1980,
Italy,18 Apr 1980,20 Mar 1986
Jamaica,27 Feb 1980,9 Aug 2005
Japan,22 Dec 1980,8 Jun 1987
Jordan,,19 Feb 1986 a
Kazakhstan,,21 Feb 1996 a
Kenya,,8 Dec 1981 a
Kiribati,,15 Sep 2005 a
Kuwait,,6 Feb 1989 a
Kyrgyzstan,,2 Oct 2003 a
Lao People's Democratic Republic,,22 Aug 2002 a
Latvia,,14 Nov 2002 a
Lebanon,,4 Dec 1997 a
Lesotho,17 Apr 1980,5 Nov 1980
Liberia,30 Jan 1980,5 Mar 2003
Libya,,25 Sep 2000 a
Liechtenstein,,28 Nov 1994 a
Lithuania,,2 Feb 2001 a
Luxembourg,18 Dec 1979,29 Apr 1991
