Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,,24 Sep 2003 a
Albania,18 Dec 2001,10 Apr 2002
Algeria,18 Jan 2000,8 Nov 2001
Andorra,11 Nov 2001,22 Oct 2008
Angola,,9 Jun 2011 a
Antigua and Barbuda,,11 Mar 2002 a
Argentina,28 Mar 2001,22 Aug 2005
Armenia,15 Nov 2001,16 Mar 2004
Australia,15 Oct 2001,26 Sep 2002
Austria,24 Sep 2001,15 Apr 2002
Azerbaijan,4 Oct 2001,26 Oct 2001
Bahamas,2 Oct 2001,1 Nov 2005
Bahrain,14 Nov 2001,21 Sep 2004
Bangladesh,,26 Aug 2005 a
Barbados,13 Nov 2001,18 Sep 2002
Belarus,12 Nov 2001,6 Oct 2004
Belgium,27 Sep 2001,17 May 2004
Belize,14 Nov 2001,1 Dec 2003
Benin,16 Nov 2001,30 Aug 2004
Bhutan,14 Nov 2001,22 Mar 2004
Bolivia (Plurinational State of),10 Nov 2001,7 Jan 2002
Bosnia and Herzegovina,11 Nov 2001,10 Jun 2003
Botswana,8 Sep 2000,8 Sep 2000
Brazil,10 Nov 2001,16 Sep 2005
Brunei Darussalam,,4 Dec 2002 a
Bulgaria,19 Mar 2001,15 Apr 2002
Burkina Faso,,1 Oct 2003 a
Burundi,13 Nov 2001,
Cambodia,11 Nov 2001,12 Dec 2005
Cameroon,,6 Feb 2006 a
Canada,10 Feb 2000,19 Feb 2002
Cape Verde,13 Nov 2001,10 May 2002
Central African Republic,19 Dec 2001,19 Feb 2008
Chile,2 May 2001,10 Nov 2001
China,13 Nov 2001,19 Apr 2006
Colombia,30 Oct 2001,14 Sep 2004
Comoros,14 Jan 2000,25 Sep 2003
Congo,14 Nov 2001,20 Apr 2007
Cook Islands,24 Dec 2001,4 Mar 2004
Costa Rica,14 Jun 2000,24 Jan 2003
Cote d'Ivoire,,13 Mar 2002 a
Croatia,11 Nov 2001,1 Dec 2003
Cuba,19 Oct 2001,15 Nov 2001
Cyprus,1 Mar 2001,30 Nov 2001
Czech Republic,6 Sep 2000,27 Dec 2005
Democratic People's Republic of Korea,12 Nov 2001,
Democratic Republic of the Congo,11 Nov 2001,28 Oct 2005
Denmark,25 Sep 2001,27 Aug 2002
Djibouti,15 Nov 2001,13 Mar 2006
Dominica,,24 Sep 2004 a
Dominican Republic,15 Nov 2001,4 Sep 2008
Ecuador,6 Sep 2000,9 Dec 2003
Egypt,6 Sep 2000,1 Mar 2005
El Salvador,,15 May 2003 a
Equatorial Guinea,,7 Feb 2003 a
Estonia,6 Sep 2000,22 May 2002
Ethiopia,,20 Mar 2012 a
Fiji,,15 May 2008 a
Finland,10 Jan 2000,28 Jun 2002 A
France,10 Jan 2000,7 Jan 2002
Gabon,8 Sep 2000,10 Mar 2005
Georgia,23 Jun 2000,27 Sep 2002
Germany,20 Jul 2000,17 Jun 2004
Ghana,12 Nov 2001,6 Sep 2002
Greece,8 Mar 2000,16 Apr 2004
Grenada,,13 Dec 2001 a
Guatemala,23 Oct 2001,12 Feb 2002
Guinea,16 Nov 2001,14 Jul 2003
Guinea-Bissau,14 Nov 2001,19 Sep 2008
Guyana,,12 Sep 2007 a
Haiti,,13 Jan 2010 a
Holy See,,25 Jan 2012 a
Honduras,11 Nov 2001,25 Mar 2003
Hungary,30 Nov 2001,14 Oct 2002
Iceland,1 Oct 2001,15 Apr 2002
India,8 Sep 2000,22 Apr 2003
Indonesia,24 Sep 2001,29 Jun 2006
