Participant,Signature,Provisional application(n),"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Brazil,20 Nov 2001,,24 Sep 2004
Cameroon,5 Oct 2001,,30 Jun 2003
Cte d'Ivoire,6 Nov 2001,,14 Nov 2002
Cyprus,,,2 Sep 2010 a
Dominican Republic,22 May 2003,,2 Nov 2005
Ecuador,,,13 Oct 2003 a
European Union,12 Dec 2002,,12 Dec 2002 AA
Gabon,,,25 Feb 2003 a
Ghana,17 Jun 2002,,21 Feb 2003
Malaysia,16 May 2002,16 May 2002 n,
Nicaragua,,,3 Aug 2009 a
Nigeria,,,11 Mar 2003 a
Papua New Guinea,8 Aug 2003,,27 Sep 2004
Russian Federation,,,24 Dec 2002 a
Sierra Leone,,,4 Oct 2010 a
Slovakia,4 Dec 2002,,28 Mar 2003 AA
Switzerland,17 Dec 2002,,3 Jun 2003
Togo,26 Oct 2001,26 Oct 2001 n,
Trinidad and Tobago,,,17 Feb 2004 a
Venezuela (Bolivarian Republic of),,,20 Apr 2005 a
