Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,30 Oct 1958,
Albania,,7 Dec 1964 a
Argentina,29 Apr 1958,
Australia,30 Oct 1958,14 May 1963
Belarus,31 Oct 1958,27 Feb 1961
Bolivia (Plurinational State of),17 Oct 1958,
Bosnia and Herzegovina,,12 Jan 1994 d
Bulgaria,,31 Aug 1962 a
Cambodia,,18 Mar 1960 a
Canada,29 Apr 1958,6 Feb 1970
Chile,31 Oct 1958,
Colombia,29 Apr 1958,8 Jan 1962
Costa Rica,29 Apr 1958,16 Feb 1972
Croatia,,3 Aug 1992 d
Cuba,29 Apr 1958,
Cyprus,,11 Apr 1974 a
Czech Republic,,22 Feb 1993 d
Denmark,29 Apr 1958,12 Jun 1963
Dominican Republic,29 Apr 1958,11 Aug 1964
Ecuador,31 Oct 1958,
Fiji,,25 Mar 1971 d
Finland,27 Oct 1958,16 Feb 1965
France,,14 Jun 1965 a
Germany,30 Oct 1958,
Ghana,29 Apr 1958,
Greece,,6 Nov 1972 a
Guatemala,29 Apr 1958,27 Nov 1961
Haiti,29 Apr 1958,29 Mar 1960
Iceland,29 Apr 1958,
Indonesia,8 May 1958,
Iran (Islamic Republic of),28 May 1958,
Ireland,2 Oct 1958,
Israel,29 Apr 1958,6 Sep 1961
Jamaica,,8 Oct 1965 a
Kenya,,20 Jun 1969 a
Latvia,,2 Dec 1992 a
Lebanon,29 May 1958,
Lesotho,,23 Oct 1973 d
Liberia,27 May 1958,
Madagascar,,31 Jul 1962 a
Malawi,,3 Nov 1965 a
Malaysia,,21 Dec 1960 a
Malta,,19 May 1966 d
Mauritius,,5 Oct 1970 d
Mexico,,2 Aug 1966 a
Montenegro,,23 Oct 2006 d
Nepal,29 Apr 1958,
Netherlands,31 Oct 1958,18 Feb 1966
New Zealand,29 Oct 1958,18 Jan 1965
Nigeria,,28 Apr 1971 a
Norway,,9 Sep 1971 a
Pakistan,31 Oct 1958,
Panama,2 May 1958,
Peru,31 Oct 1958,
Poland,31 Oct 1958,29 Jun 1962
Portugal,28 Oct 1958,8 Jan 1963
Romania,,12 Dec 1961 a
Russian Federation,31 Oct 1958,22 Nov 1960
Senegal,,25 Apr 1961 a
Serbia,,12 Mar 2001 d
Sierra Leone,,25 Nov 1966 a
Slovakia,,28 May 1993 d
Solomon Islands,,3 Sep 1981 d
South Africa,,9 Apr 1963 a
Spain,,25 Feb 1971 a
Sri Lanka,30 Oct 1958,
Swaziland,,16 Oct 1970 a
Sweden,,1 Jun 1966 a
Switzerland,22 Oct 1958,18 May 1966
Thailand,29 Apr 1958,2 Jul 1968
Tonga,,29 Jun 1971 d
Trinidad and Tobago,,11 Jul 1968 a
Tunisia,30 Oct 1958,
Uganda,,14 Sep 1964 a
Ukraine,31 Oct 1958,12 Jan 1961
United Kingdom of Great Britain and Northern Ireland,9 Sep 1958,11 May 1964
United States of America,15 Sep 1958,12 Apr 1961
Uruguay,29 Apr 1958,
Venezuela (Bolivarian Republic of),30 Oct 1958,15 Aug 1961
