Participant,Application
Algeria,25 Mar 1964
Argentina,10 Oct 1963
Barbados,19 Nov 1971
Belgium,14 Mar 1962
Brazil,22 Mar 1963
Bulgaria,13 Jun 1968
Burkina Faso,6 Apr 1962
Croatia,12 Oct 1992
Cuba,13 Sep 1972
Cyprus,6 May 1964
Czech Republic,22 Feb 1993
Denmark,20 May 1960
Estonia,8 Oct 1997
Finland,8 Jun 1959
Gabon,30 Nov 1982
Gambia,1 Aug 1966
Germany,12 Jan 1962
Guinea,29 Mar 1968
Guyana,13 Sep 1973
Haiti,5 Aug 1959
Hungary,9 Aug 1973
Indonesia,8 Mar 1972
Ireland,10 May 1967
Japan,18 Apr 1963
Kenya,1 Jul 1965
Kuwait,7 Feb 1963
Lao People's Democratic Republic,9 Aug 1960
Madagascar,3 Jan 1966
Malawi,2 Aug 1965
Maldives,26 May 1969
Malta,27 Jun 1968
Montenegro,23 Oct 2006
Mozambique,6 Oct 2011
Netherlands,28 Jun 1965
New Zealand,17 Oct 1963
Nigeria,26 Jun 1961
Norway,30 Jan 1961
Pakistan,13 Mar 1962
Russian Federation,10 Jan 1966
Senegal,2 Mar 1966
Serbia,12 Mar 2001
Sierra Leone,13 Mar 1962
Slovakia,28 May 1993
Slovenia,21 Oct 1998
Sweden,1 Feb 1960
The former Yugoslav Republic of Macedonia,11 Mar 1996
Trinidad and Tobago,19 Oct 1965
Uganda,11 Aug 1983
United Kingdom of Great Britain and Northern Ireland,4 Nov 1959
