Participant,Signature,"Ratification, Accession(a), Succession(d)"
Albania,,4 Oct 1991 a
Algeria,,14 Apr 1964 a
Andorra,,3 Jul 1996 a
Angola,,21 Nov 1990 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,24 Apr 1963,7 Mar 1967
Armenia,,23 Jun 1993 a
Australia,31 Mar 1964,12 Feb 1973
Austria,24 Apr 1963,12 Jun 1969
Azerbaijan,,13 Aug 1992 a
Bahamas,,17 Mar 1977 d
Bahrain,,17 Sep 1992 a
Bangladesh,,13 Jan 1978 d
Barbados,,11 May 1992 a
Belarus,,21 Mar 1989 a
Belgium,31 Mar 1964,9 Sep 1970
Belize,,30 Nov 2000 a
Benin,24 Apr 1963,27 Apr 1979
Bhutan,,28 Jul 1981 a
Bolivia (Plurinational State of),6 Aug 1963,22 Sep 1970
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,26 Mar 2008 a
Brazil,24 Apr 1963,11 May 1967
Brunei Darussalam,,24 May 2013 a
Bulgaria,,11 Jul 1989 a
Burkina Faso,24 Apr 1963,11 Aug 1964
Cambodia,,10 Mar 2006 a
Cameroon,21 Aug 1963,22 May 1967
Canada,,18 Jul 1974 a
Cape Verde,,30 Jul 1979 a
Central African Republic,24 Apr 1963,
Chile,24 Apr 1963,9 Jan 1968
China,,2 Jul 1979 a
Colombia,24 Apr 1963,6 Sep 1972
Congo,24 Apr 1963,
Costa Rica,6 Jun 1963,29 Dec 1966
Cte d'Ivoire,24 Apr 1963,
Croatia,,12 Oct 1992 d
Cuba,24 Apr 1963,15 Oct 1965
Cyprus,,14 Apr 1976 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,8 Aug 1984 a
Democratic Republic of the Congo,24 Apr 1963,15 Jul 1976
Denmark,24 Apr 1963,15 Nov 1972
Djibouti,,2 Nov 1978 a
Dominica,,24 Nov 1987 d
Dominican Republic,24 Apr 1963,4 Mar 1964
Ecuador,25 Mar 1964,11 Mar 1965
Egypt,,21 Jun 1965 a
El Salvador,,19 Jan 1973 a
Equatorial Guinea,,30 Aug 1976 a
Eritrea,,14 Jan 1997 a
Estonia,,21 Oct 1991 a
Fiji,,28 Apr 1972 a
Finland,28 Oct 1963,2 Jul 1980
France,24 Apr 1963,31 Dec 1970
Gabon,24 Apr 1963,23 Feb 1965
Gambia,,28 Mar 2013 a
Georgia,,12 Jul 1993 a
Germany,31 Oct 1963,7 Sep 1971
Ghana,24 Apr 1963,4 Oct 1963
Greece,,14 Oct 1975 a
Grenada,,2 Sep 1992 a
Guatemala,,9 Feb 1973 a
Guinea,,30 Jun 1988 a
Guyana,,13 Sep 1973 a
Haiti,,2 Feb 1978 a
Holy See,24 Apr 1963,8 Oct 1970
Honduras,,13 Feb 1968 a
Hungary,,19 Jun 1987 a
Iceland,,1 Jun 1978 a
India,,28 Nov 1977 a
Indonesia,,4 Jun 1982 a
Iran (Islamic Republic of),24 Apr 1963,5 Jun 1975
Iraq,,14 Jan 1970 a
Ireland,24 Apr 1963,10 May 1967
Israel,25 Feb 1964,
Italy,22 Nov 1963,25 Jun 1969
Jamaica,,9 Feb 1976 a
Japan,,3 Oct 1983 a
Jordan,,7 Mar 1973 a
Kazakhstan,,5 Jan 1994 a
Kenya,,1 Jul 1965 a
Kiribati,,2 Apr 1982 d
Kuwait,10 Jan 1964,31 Jul 1975
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,,9 Aug 1973 a
Latvia,,13 Feb 1992 a
Lebanon,24 Apr 1963,20 Mar 1975
Lesotho,,26 Jul 1972 a
Liberia,24 Apr 1963,28 Aug 1984
Libya,,4 Sep 1998 a
Liechtenstein,24 Apr 1963,18 May 1966
Lithuania,,15 Jan 1992 a
Luxembourg,24 Mar 1964,8 Mar 1972
Madagascar,,17 Feb 1967 a
Malawi,,29 Apr 1980 a
Malaysia,,1 Oct 1991 a
Maldives,,21 Jan 1991 a
Mali,,28 Mar 1968 a
Malta,,10 Dec 1997 a
Marshall Islands,,9 Aug 1991 a
Mauritania,,21 Jul 2000 a
Mauritius,,13 May 1970 a
Mexico,7 Oct 1963,16 Jun 1965
Micronesia (Federated States of),,29 Apr 1991 a
Monaco,,4 Oct 2005 a
Mongolia,,14 Mar 1989 a
Montenegro,,23 Oct 2006 d
Morocco,,23 Feb 1977 a
Mozambique,,18 Apr 1983 a
Myanmar,,2 Jan 1997 a
Namibia,,14 Sep 1992 a
Nauru,,14 Dec 2012 a
Nepal,,28 Sep 1965 a
Netherlands,,17 Dec 1985 a
