Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Succession(d)"
Albania,,4 Oct 2007 a
Algeria,,12 Sep 1989 a
Andorra,5 Aug 2002,22 Sep 2006
Angola,,10 Jan 1992 a
Argentina,,8 Aug 1986 a
Armenia,,23 Jun 1993 a
Australia,,25 Sep 1991 a
Austria,10 Dec 1973,10 Dec 1987
Azerbaijan,,27 Nov 2001 a
Barbados,,5 Jan 1973 a
Belarus,,30 Sep 1992 a
Belgium,,17 May 1994 a
Benin,,12 Mar 1992 a
Bolivia (Plurinational State of),,12 Aug 1982 a
Bosnia and Herzegovina,1 Mar 1995,1 Mar 1995
Brazil,,25 Sep 2009 a
Bulgaria,,26 Mar 1992 a
Burkina Faso,,4 Jan 1999 a
Cambodia,27 Sep 2004,
Cameroon,,27 Jun 1984 a
Canada,,19 May 1976 a
Cape Verde,,19 May 2000 a
Central African Republic,,8 May 1981 a
Chad,,9 Jun 1995 a
Chile,,27 May 1992 a
Colombia,21 Dec 1966,29 Oct 1969
Congo,,5 Oct 1983 a
Costa Rica,19 Dec 1966,29 Nov 1968
Côte d'Ivoire,,5 Mar 1997 a
Croatia,,12 Oct 1995 a
Cyprus,19 Dec 1966,15 Apr 1992
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,1 Nov 1976 a
Denmark,20 Mar 1968,6 Jan 1972
Djibouti,,5 Nov 2002 a
Dominican Republic,,4 Jan 1978 a
Ecuador,4 Apr 1968,6 Mar 1969
El Salvador,21 Sep 1967,6 Jun 1995
Equatorial Guinea,,25 Sep 1987 a
Estonia,,21 Oct 1991 a
Finland,11 Dec 1967,19 Aug 1975
France,,17 Feb 1984 a
Gambia,,9 Jun 1988 a
Georgia,,3 May 1994 a
Germany,,25 Aug 1993 a
Ghana,7 Sep 2000,7 Sep 2000
Greece,,5 May 1997 a
Guatemala,,28 Nov 2000 a
Guinea,19 Mar 1975,17 Jun 1993
Guinea-Bissau,12 Sep 2000,
Guyana,,5 Jan 1999 a
Honduras,19 Dec 1966,7 Jun 2005
Hungary,,7 Sep 1988 a
Iceland,,22 Aug 1979 a
Ireland,,8 Dec 1989 a
Italy,30 Apr 1976,15 Sep 1978
Jamaica,19 Dec 1966,3 Oct 1975
Kazakhstan,25 Sep 2007,30 Jun 2009
Kyrgyzstan,,7 Oct 1994 a
Latvia,,22 Jun 1994 a
Lesotho,,6 Sep 2000 a
Liberia,22 Sep 2004,
Libya,,16 May 1989 a
Liechtenstein,,10 Dec 1998 a
Lithuania,,20 Nov 1991 a
Luxembourg,,18 Aug 1983 a
Madagascar,17 Sep 1969,21 Jun 1971
Malawi,,11 Jun 1996 a
Maldives,,19 Sep 2006 a
Mali,,24 Oct 2001 a
Malta,,13 Sep 1990 a
Mauritius,,12 Dec 1973 a
Mexico,,15 Mar 2002 a
Mongolia,,16 Apr 1991 a
Montenegro,,23 Oct 2006 d
Namibia,,28 Nov 1994 a
Nauru,12 Nov 2001,
Nepal,,14 May 1991 a
Netherlands,25 Jun 1969,11 Dec 1978
New Zealand,,26 May 1989 a
Nicaragua,,12 Mar 1980 a
Niger,,7 Mar 1986 a
Norway,20 Mar 1968,13 Sep 1972
Panama,27 Jul 1976,8 Mar 1977
Paraguay,,10 Jan 1995 a
Peru,11 Aug 1977,3 Oct 1980
Philippines,19 Dec 1966,22 Aug 1989
Poland,,7 Nov 1991 a
Portugal,1 Aug 1978,3 May 1983
Republic of Korea,,10 Apr 1990 a
Republic of Moldova,16 Sep 2005,23 Jan 2008
Romania,,20 Jul 1993 a
Russian Federation,,1 Oct 1991 a
San Marino,,18 Oct 1985 a
Sao Tome and Principe,6 Sep 2000,
Senegal,6 Jul 1970,13 Feb 1978
Serbia,12 Mar 2001 d,6 Sep 2001
Seychelles,,5 May 1992 a
Sierra Leone,,23 Aug 1996 a
Slovakia,,28 May 1993 d
Slovenia,,16 Jul 1993 a
Somalia,,24 Jan 1990 a
South Africa,,28 Aug 2002 a
Spain,,25 Jan 1985 a
Sri Lanka,,3 Oct 1997 a
St. Vincent and the Grenadines,,9 Nov 1981 a
Suriname,,28 Dec 1976 a
Sweden,29 Sep 1967,6 Dec 1971
Tajikistan,,4 Jan 1999 a
The former Yugoslav Republic of Macedonia,12 Dec 1994 d,12 Dec 1994
Togo,,30 Mar 1988 a
Trinidad and Tobago,,14 Nov 1980 a
Tunisia,,29 Jun 2011 a
Turkey,3 Feb 2004,24 Nov 2006
Turkmenistan,,1 May 1997 a
Uganda,,14 Nov 1995 a
Ukraine,,25 Jul 1991 a
Uruguay,21 Feb 1967,1 Apr 1970
Uzbekistan,,28 Sep 1995 a
Venezuela (Bolivarian Republic of),15 Nov 1976,10 May 1978
Zambia,,10 Apr 1984 a
