Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,24 Sep 2003 a
Albania,,22 Jan 2002 a
Algeria,,7 Nov 2000 a
Andorra,,23 Sep 2004 a
Antigua and Barbuda,,19 Jul 1993 a
Argentina,,18 Mar 1982 a
Armenia,,18 May 1994 a
Australia,30 Dec 1974,20 Jun 1977
Austria,,3 Aug 1977 a
Azerbaijan,,2 Apr 2001 a
Bahamas,,22 Jul 1986 a
Bahrain,,16 Sep 2005 a
Bangladesh,,20 May 2005 a
Barbados,,26 Oct 1979 a
Belarus,11 Jun 1974,5 Feb 1976
Belgium,,19 May 2004 a
Belize,,14 Nov 2001 a
Benin,,31 Jul 2003 a
Bhutan,,16 Jan 1989 a
Bolivia (Plurinational State of),,22 Jan 2002 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,25 Oct 2000 a
Brazil,,7 Jun 1999 a
Brunei Darussalam,,13 Nov 1997 a
Bulgaria,27 Jun 1974,18 Jul 1974
Burkina Faso,,1 Oct 2003 a
Burundi,,17 Dec 1980 a
Cambodia,,27 Jul 2006 a
Cameroon,,8 Jun 1992 a
Canada,26 Jun 1974,4 Aug 1976
Cape Verde,,10 Sep 2002 a
Central African Republic,,19 Feb 2008 a
Chile,,21 Jan 1977 a
China,,5 Aug 1987 a
Colombia,,16 Jan 1996 a
Comoros,,25 Sep 2003 a
Costa Rica,,2 Nov 1977 a
Cote d'Ivoire,,13 Mar 2002 a
Croatia,,12 Oct 1992 d
Cuba,,10 Jun 1998 a
Cyprus,,24 Dec 1975 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,1 Dec 1982 a
Democratic Republic of the Congo,,25 Jul 1977 a
Denmark,10 May 1974,1 Jul 1975
Djibouti,,1 Jun 2004 a
Dominica,,24 Sep 2004 a
Dominican Republic,,8 Jul 1977 a
Ecuador,27 Aug 1974,12 Mar 1975
Egypt,,25 Jun 1986 a
El Salvador,,8 Aug 1980 a
Equatorial Guinea,,7 Feb 2003 a
Estonia,,21 Oct 1991 a
Ethiopia,,16 Apr 2003 a
Fiji,,15 May 2008 a
Finland,10 May 1974,31 Oct 1978
France,,26 Aug 2003 a
Gabon,,14 Oct 1981 a
Georgia,,18 Feb 2004 a
Germany,15 Aug 1974,25 Jan 1977
Ghana,,25 Apr 1975 a
Greece,,3 Jul 1984 a
Grenada,,13 Dec 2001 a
Guatemala,12 Dec 1974,18 Jan 1983
Guinea,,22 Dec 2004 a
Guinea-Bissau,,6 Aug 2008 a
Guyana,,12 Sep 2007 a
Haiti,,25 Aug 1980 a
Holy See,,26 Sep 2012 a
Honduras,,29 Jan 2003 a
Hungary,6 Nov 1974,26 Mar 1975
Iceland,10 May 1974,2 Aug 1977
India,,11 Apr 1978 a
Iran (Islamic Republic of),,12 Jul 1978 a
Iraq,,28 Feb 1978 a
Ireland,,30 Jun 2005 a
Israel,,31 Jul 1980 a
Italy,30 Dec 1974,30 Aug 1985
Jamaica,,21 Sep 1978 a
Japan,,8 Jun 1987 a
Jordan,,18 Dec 1984 a
Kazakhstan,,21 Feb 1996 a
Kenya,,16 Nov 2001 a
Kiribati,,15 Sep 2005 a
Kuwait,,1 Mar 1989 a
Kyrgyzstan,,2 Oct 2003 a
Lao People's Democratic Republic,,22 Aug 2002 a
Latvia,,14 Apr 1992 a
Lebanon,,3 Jun 1997 a
Lesotho,,6 Nov 2009 a
Liberia,,30 Sep 1975 a
Libya,,25 Sep 2000 a
Liechtenstein,,28 Nov 1994 a
Lithuania,,23 Oct 2002 a
Luxembourg,,10 May 2006 a
Madagascar,,24 Sep 2003 a
Malawi,,14 Mar 1977 a
Malaysia,,24 Sep 2003 a
