Participant,Signature,"Accession(a), Ratification"
Albania,6 Feb 2007,8 Nov 2007
Algeria,6 Feb 2007,
Argentina,6 Feb 2007,14 Dec 2007
Armenia,10 Apr 2007,24 Jan 2011
Austria,6 Feb 2007,7 Jun 2012
Azerbaijan,6 Feb 2007,
Belgium,6 Feb 2007,2 Jun 2011
Benin,19 Mar 2010,
Bolivia (Plurinational State of),6 Feb 2007,17 Dec 2008
Bosnia and Herzegovina,6 Feb 2007,30 Mar 2012
Brazil,6 Feb 2007,29 Nov 2010
Bulgaria,24 Sep 2008,
Burkina Faso,6 Feb 2007,3 Dec 2009
Burundi,6 Feb 2007,
Cameroon,6 Feb 2007,
Cape Verde,6 Feb 2007,
Chad,6 Feb 2007,
Chile,6 Feb 2007,8 Dec 2009
Colombia,27 Sep 2007,11 Jul 2012
Comoros,6 Feb 2007,
Congo,6 Feb 2007,
Costa Rica,6 Feb 2007,16 Feb 2012
Croatia,6 Feb 2007,
Cuba,6 Feb 2007,2 Feb 2009
Cyprus,6 Feb 2007,
Denmark,25 Sep 2007,
Ecuador,24 May 2007,20 Oct 2009
Finland,6 Feb 2007,
France,6 Feb 2007,23 Sep 2008
Gabon,25 Sep 2007,19 Jan 2011
Germany,26 Sep 2007,24 Sep 2009
Ghana,6 Feb 2007,
Greece,1 Oct 2008,
Grenada,6 Feb 2007,
Guatemala,6 Feb 2007,
Haiti,6 Feb 2007,
Honduras,6 Feb 2007,1 Apr 2008
Iceland,1 Oct 2008,
India,6 Feb 2007,
Indonesia,27 Sep 2010,
Iraq,,23 Nov 2010 a
Ireland,29 Mar 2007,
Italy,3 Jul 2007,
Japan,6 Feb 2007,23 Jul 2009
Kazakhstan,,27 Feb 2009 a
Kenya,6 Feb 2007,
Lao People's Democratic Republic,29 Sep 2008,
Lebanon,6 Feb 2007,
Lesotho,22 Sep 2010,
Liechtenstein,1 Oct 2007,
Lithuania,6 Feb 2007,
Luxembourg,6 Feb 2007,
Madagascar,6 Feb 2007,
Maldives,6 Feb 2007,
Mali,6 Feb 2007,1 Jul 2009
Malta,6 Feb 2007,
Mauritania,27 Sep 2011,3 Oct 2012
Mexico,6 Feb 2007,18 Mar 2008
Monaco,6 Feb 2007,
Mongolia,6 Feb 2007,
Montenegro,6 Feb 2007,20 Sep 2011
Morocco,6 Feb 2007,14 May 2013
Mozambique,24 Dec 2008,
Netherlands,29 Apr 2008,23 Mar 2011
Niger,6 Feb 2007,
Nigeria,,27 Jul 2009 a
Norway,21 Dec 2007,
Palau,20 Sep 2011,
Panama,25 Sep 2007,24 Jun 2011
Paraguay,6 Feb 2007,3 Aug 2010
Peru,,26 Sep 2012 a
Portugal,6 Feb 2007,
Republic of Moldova,6 Feb 2007,
Romania,3 Dec 2008,
Samoa,6 Feb 2007,27 Nov 2012
Senegal,6 Feb 2007,11 Dec 2008
Serbia,6 Feb 2007,18 May 2011
Sierra Leone,6 Feb 2007,
Slovakia,26 Sep 2007,
Slovenia,26 Sep 2007,
Spain,27 Sep 2007,24 Sep 2009
St. Vincent and the Grenadines,29 Mar 2010,
Swaziland,25 Sep 2007,
Sweden,6 Feb 2007,
Switzerland,19 Jan 2011,
Thailand,9 Jan 2012,
The former Yugoslav Republic of Macedonia,6 Feb 2007,
Togo,27 Oct 2010,
Tunisia,6 Feb 2007,29 Jun 2011
Uganda,6 Feb 2007,
United Republic of Tanzania,29 Sep 2008,
Uruguay,6 Feb 2007,4 Mar 2009
Vanuatu,6 Feb 2007,
Venezuela (Bolivarian Republic of),21 Oct 2008,
Zambia,27 Sep 2010,4 Apr 2011
