Participant,Signature,"Ratification, Accession(a), Succession(d)"
Algeria,,26 Feb 2003 a
Angola,,26 Oct 2005 a
Antigua and Barbuda,,5 Apr 1993 a
Argentina,25 Mar 1972,16 Nov 1973
Australia,22 Nov 1972,22 Nov 1972
Austria,,1 Feb 1978 a
Bahamas,,23 Nov 1976 a
Bangladesh,,9 May 1980 a
Barbados,,21 Jun 1976 a
Belarus,,13 Sep 2001 a
Belgium,25 Mar 1972,13 Jun 1984
Benin,,6 Nov 1973 a
Botswana,,27 Dec 1984 a
Brazil,25 Mar 1972,16 May 1973
Brunei Darussalam,,25 Nov 1987 a
Bulgaria,,18 Jul 1996 a
Cambodia,25 Mar 1972,
Cameroon,,30 May 1974 a
Canada,,5 Aug 1976 a
Chile,25 Mar 1972,19 Dec 1975
Colombia,,3 Mar 1975 a
Costa Rica,25 Mar 1972,14 Feb 1973
Côte d'Ivoire,25 Mar 1972,28 Feb 1973
Croatia,,26 Jul 1993 d
Cuba,,14 Dec 1989 a
Cyprus,25 Mar 1972,30 Nov 1973
Czech Republic,,30 Dec 1993 d
Democratic Republic of the Congo,,15 Jul 1976 a
Denmark,25 Mar 1972,18 Apr 1975
Djibouti,,22 Feb 2001 a
Dominica,,24 Sep 1993 a
Dominican Republic,,21 Sep 1993 a
Ecuador,25 Mar 1972,25 Jul 1973
Egypt,25 Mar 1972,14 Jan 1974
Eritrea,,30 Jan 2002 a
Ethiopia,,11 Oct 1994 a
Fiji,,21 Nov 1973 a
Finland,16 May 1972,12 Jan 1973
France,25 Mar 1972,4 Sep 1975
Gabon,25 Mar 1972,
Germany,25 Mar 1972,20 Feb 1975
Ghana,25 Mar 1972,
Greece,25 Mar 1972,12 Jul 1985
Guatemala,25 Mar 1972,9 Dec 1975
Guinea-Bissau,,27 Oct 1995 a
Haiti,25 Mar 1972,29 Jan 1973
Holy See,25 Mar 1972,7 Jan 1976
Honduras,,8 Aug 1979 a
Hungary,,12 Nov 1987 a
Iceland,,18 Dec 1974 a
India,,14 Dec 1978 a
Indonesia,25 Mar 1972,3 Sep 1976
Iran (Islamic Republic of),25 Mar 1972,18 Dec 2001
Iraq,,25 Sep 1978 a
Ireland,,16 Dec 1980 a
Israel,27 Mar 1972,1 Feb 1974
Italy,25 Mar 1972,14 Apr 1975
Jamaica,,6 Oct 1989 a
Japan,15 Dec 1972,27 Sep 1973
Jordan,25 Mar 1972,28 Feb 1973
Kazakhstan,,29 Apr 1997 a
Kenya,,9 Feb 1973 a
Kuwait,,7 Nov 1973 a
Lao People's Democratic Republic,,16 Mar 2009 a
Latvia,,16 Jul 1993 a
Lebanon,25 Mar 1972,5 Mar 1997
Lesotho,,4 Nov 1974 a
Liberia,25 Mar 1972,
Libya,,27 Sep 1978 a
Liechtenstein,25 Mar 1972,24 Nov 1999
Luxembourg,25 Mar 1972,13 Oct 1976
Madagascar,25 Mar 1972,20 Jun 1974
Malawi,,4 Oct 1973 a
Malaysia,,20 Apr 1978 a
Mali,,31 Oct 1995 a
Mauritius,,12 Dec 1994 a
Mexico,,27 Apr 1977 a
Monaco,25 Mar 1972,30 Dec 1975
Mongolia,,6 May 1991 a
Montenegro,,23 Oct 2006 d
Morocco,28 Dec 1972,19 Mar 2002
Myanmar,,22 Aug 2003 a
Netherlands,,29 May 1987 a
New Zealand,15 Dec 1972,7 Jun 1990
Nicaragua,25 Mar 1972,15 Feb 2005
Niger,28 Nov 1972,28 Dec 1973
Norway,25 Mar 1972,12 Nov 1973
Pakistan,29 Dec 1972,2 Jul 1999
Panama,18 May 1972,19 Oct 1972
Papua New Guinea,,28 Oct 1980 a
Paraguay,18 Oct 1972,20 Jun 1973
Peru,25 Mar 1972,12 Sep 1977
Philippines,25 Mar 1972,7 Jun 1974
Poland,,9 Jun 1993 a
Portugal,,20 Apr 1979 a
Republic of Korea,29 Dec 1972,25 Jan 1973
Republic of Moldova,,15 Feb 1995 a
Romania,,14 Jan 1974 a
Russian Federation,,3 Jun 1996 a
San Marino,,10 Oct 2000 a
Senegal,16 Aug 1972,25 Mar 1974
Serbia,,12 Mar 2001 d
Seychelles,,27 Feb 1992 a
Singapore,,9 Jul 1975 a
Slovakia,,28 May 1993 d
South Africa,25 Mar 1972,16 Dec 1975
Spain,25 Mar 1972,4 Jan 1977
Sri Lanka,,29 Jun 1981 a
St. Kitts and Nevis,,9 May 1994 a
St. Vincent and the Grenadines,,3 Dec 2001 d
Sudan,,5 Jul 1994 a
Suriname,,29 Mar 1990 a
Sweden,25 Mar 1972,5 Dec 1972
Switzerland,,22 Apr 1996 a
Syrian Arab Republic,,1 Feb 1974 a
Thailand,,9 Jan 1975 a
The former Yugoslav Republic of Macedonia,,13 Oct 1993 a
Togo,25 Mar 1972,10 Nov 1976
Tonga,,5 Sep 1973 a
Trinidad and Tobago,,23 Jul 1979 a
Tunisia,22 Dec 1972,29 Jun 1976
Turkey,25 Mar 1972,20 Jul 2001
Uganda,,15 Apr 1988 a
Ukraine,,27 Sep 2001 a
United Kingdom of Great Britain and Northern Ireland,25 Mar 1972,20 Jun 1978
United States of America,25 Mar 1972,1 Nov 1972
Uruguay,,31 Oct 1975 a
Venezuela (Bolivarian Republic of),25 Mar 1972,4 Dec 1985
Zambia,,13 May 1998 a
