Participant,Acceptance(A)
Angola,7 Jan 1981 A
Benin,6 Sep 1980 A
Botswana,13 Dec 1979 A
Burkina Faso,23 Aug 1980 A
Burundi,11 Jan 1980 A
Cameroon,12 Mar 1980 A
Cape Verde,22 Dec 1980 A
Central African Republic,15 Jan 1981 A
Chad,7 Sep 1981 A
Comoros,30 Nov 1979 A
Congo,18 Aug 1980 A
Cte d'Ivoire,27 Feb 1980 A
Democratic Republic of the Congo,6 Sep 1980 A
Djibouti,29 Jun 1979 A
Egypt,27 Jun 1979 A
Equatorial Guinea,14 Nov 1979 A
Ethiopia,21 Apr 1980 A
Gabon,9 Aug 1980 A
Gambia,25 Feb 1980 A
Ghana,13 Dec 1979 A
Guinea,16 May 1980 A
Guinea-Bissau,15 Dec 1980 A
Kenya,25 Jul 1979 A
Lesotho,20 Nov 1979 A
Liberia,30 Sep 1980 A
Madagascar,18 Dec 1981 A
Malawi,23 Aug 1979 A
Mali,16 Jul 1979 A
Mauritania,5 Jan 1981 A
Mauritius,27 Sep 1979 A
Morocco,24 Nov 1980 A
Mozambique,27 Dec 1979 A
Niger,9 Dec 1980 A
Nigeria,6 May 1982 A
Rwanda,2 Feb 1980 A
Sao Tome and Principe,19 Nov 1979 A
Senegal,10 Jul 1979 A
Seychelles,14 Dec 1979 A
Sierra Leone,26 Oct 1979 A
Somalia,22 Dec 1980 A
Sudan,10 Dec 1980 A
Swaziland,11 Jan 1980 A
Togo,18 Jan 1980 A
Tunisia,27 Jun 1979 A
Uganda,29 May 1980 A
United Republic of Tanzania,20 Aug 1980 A
Zambia,3 Apr 1980 A
Zimbabwe,24 Oct 1980 A
