Participant,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,17 Jun 2004 a
Albania,25 May 2006 a
Algeria,20 Oct 1992 a
Andorra,26 Jan 2009 a
Angola,21 Jun 2011 a
Antigua and Barbuda,23 Feb 1993 a
Argentina,4 Dec 1992
Armenia,26 Nov 2003 a
Australia,11 Aug 1992 A
Austria,11 Dec 1992
Azerbaijan,12 Jun 1996 a
Bahamas,4 May 1993 a
Bahrain,23 Dec 1992 A
Bangladesh,18 Mar 1994
Barbados,20 Jul 1994 A
Belarus,10 Jun 1996
Belgium,5 Oct 1993
Belize,9 Jan 1998 a
Benin,21 Jun 2000
Bhutan,23 Aug 2004 a
Bolivia (Plurinational State of),3 Oct 1994 a
Bosnia and Herzegovina,11 Aug 2003 a
Botswana,13 May 1997 a
Brazil,1 Oct 1992 A
Brunei Darussalam,3 Mar 2009 a
Bulgaria,28 Apr 1999
Burkina Faso,10 Jun 1994
Burundi,18 Oct 2001 A
Cambodia,31 Jan 2007 a
Cameroon,8 Jun 1992 A
Canada,5 Jul 1990 A
Cape Verde,31 Jul 2001 a
Central African Republic,29 May 2008
Chad,30 May 2001
Chile,9 Apr 1992 A
China,14 Jun 1991 a
Colombia,6 Dec 1993 a
Comoros,31 Oct 1994 a
Congo,16 Nov 1994
Cook Islands,22 Dec 2003 a
Costa Rica,11 Nov 1998
Cte d'Ivoire,18 May 1994
Croatia,15 Oct 1993
Cuba,19 Oct 1998
Cyprus,11 Oct 1994 A
Czech Republic,18 Dec 1996 a
Democratic People's Republic of Korea,17 Jun 1999 a
Democratic Republic of the Congo,30 Nov 1994 a
Denmark,20 Dec 1991 A
Djibouti,30 Jul 1999 a
Dominica,31 Mar 1993 a
Dominican Republic,24 Dec 2001 a
Ecuador,23 Feb 1993
Egypt,13 Jan 1993
El Salvador,8 Dec 2000 a
Equatorial Guinea,11 Jul 2007 a
Eritrea,5 Jul 2005 a
Estonia,12 Apr 1999
