Participant,Signature,"Accession(a), Succession(d), Ratification"
Algeria,,10 Sep 1969 a
Argentina,,29 Nov 1972 a
Australia,,12 Feb 1985 a
Austria,21 Dec 1956,16 Jul 1969
Barbados,,18 Jun 1970 a
Belarus,,14 Nov 1996 a
Belgium,,1 Jul 1966 a
Bolivia (Plurinational State of),20 Jun 1956,
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,31 Dec 1956,14 Nov 1960
Burkina Faso,,27 Aug 1962 a
Cambodia,20 Jun 1956,
Cape Verde,,13 Sep 1985 a
Central African Republic,,15 Oct 1962 a
Chile,,9 Jan 1961 a
Colombia,16 Jul 1956,10 Nov 1999
Croatia,,20 Sep 1993 d
Cuba,20 Jun 1956,
Cyprus,,8 May 1986 a
Czech Republic,,30 Sep 1993 d
Denmark,28 Dec 1956,22 Jun 1959
Dominican Republic,20 Jun 1956,
Ecuador,20 Jun 1956,4 Jun 1974
El Salvador,20 Jun 1956,
Estonia,,8 Jan 1997 a
Finland,,13 Sep 1962 a
France,5 Sep 1956,24 Jun 1960
Germany,20 Jun 1956,20 Jul 1959
Greece,20 Jun 1956,1 Nov 1965
Guatemala,26 Dec 1956,25 Apr 1957
Haiti,21 Dec 1956,12 Feb 1958
Holy See,20 Jun 1956,5 Oct 1964
Hungary,,23 Jul 1957 a
Ireland,,26 Oct 1995 a
Israel,20 Jun 1956,4 Apr 1957
Italy,1 Aug 1956,28 Jul 1958
Kazakhstan,,28 Mar 2000 a
Kyrgyzstan,,27 May 2004 a
Liberia,,16 Sep 2005 a
Luxembourg,,1 Nov 1971 a
Mexico,20 Jun 1956,23 Jul 1992
Monaco,20 Jun 1956,28 Jun 1961
Montenegro,,23 Oct 2006 d
Morocco,,18 Mar 1957 a
Netherlands,20 Jun 1956,31 Jul 1962
New Zealand,,26 Feb 1986 a
Niger,,15 Feb 1965 a
Norway,,25 Oct 1957 a
Pakistan,,14 Jul 1959 a
Philippines,20 Jun 1956,21 Mar 1968
Poland,,13 Oct 1960 a
Portugal,,25 Jan 1965 a
Republic of Moldova,,24 Jul 2006 a
Romania,,10 Apr 1991 a
Serbia,,12 Mar 2001 d
Seychelles,,1 Nov 2004 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Spain,,6 Oct 1966 a
Sri Lanka,20 Jun 1956,7 Aug 1958
Suriname,,12 Oct 1979 a
Sweden,4 Dec 1956,1 Oct 1958
Switzerland,,5 Oct 1977 a
The former Yugoslav Republic of Macedonia,,10 Mar 1994 d
Tunisia,,16 Oct 1968 a
Turkey,,2 Jun 1971 a
Ukraine,,19 Sep 2006 a
United Kingdom of Great Britain and Northern Ireland,,13 Mar 1975 a
Uruguay,,18 Sep 1995 a
