Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,23 May 1969,
Albania,,27 Jun 2001 a
Algeria,,8 Nov 1988 a
Andorra,,5 Apr 2004 a
Argentina,23 May 1969,5 Dec 1972
Armenia,,17 May 2005 a
Australia,,13 Jun 1974 a
Austria,,30 Apr 1979 a
Barbados,23 May 1969,24 Jun 1971
Belarus,,1 May 1986 a
Belgium,,1 Sep 1992 a
Bolivia (Plurinational State of),23 May 1969,
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,23 May 1969,25 Sep 2009
Bulgaria,,21 Apr 1987 a
Burkina Faso,,25 May 2006 a
Cambodia,23 May 1969,
Cameroon,,23 Oct 1991 a
Canada,,14 Oct 1970 a
Central African Republic,,10 Dec 1971 a
Chile,23 May 1969,9 Apr 1981
China,,3 Sep 1997 a
Colombia,23 May 1969,10 Apr 1985
Congo,23 May 1969,12 Apr 1982
Costa Rica,23 May 1969,22 Nov 1996
Cote d'Ivoire,23 Jul 1969,
Croatia,,12 Oct 1992 d
Cuba,,9 Sep 1998 a
Cyprus,,28 Dec 1976 a
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,25 Jul 1977 a
Denmark,18 Apr 1970,1 Jun 1976
Dominican Republic,,1 Apr 2010 a
Ecuador,23 May 1969,11 Feb 2005
Egypt,,11 Feb 1982 a
El Salvador,16 Feb 1970,
Estonia,,21 Oct 1991 a
Ethiopia,30 Apr 1970,
Finland,23 May 1969,19 Aug 1977
Gabon,,5 Nov 2004 a
Georgia,,8 Jun 1995 a
Germany,30 Apr 1970,21 Jul 1987
Ghana,23 May 1969,
Greece,,30 Oct 1974 a
Guatemala,23 May 1969,21 Jul 1997
Guinea,,16 Sep 2005 a
Guyana,23 May 1969,15 Sep 2005
Haiti,,25 Aug 1980 a
Holy See,30 Sep 1969,25 Feb 1977
Honduras,23 May 1969,20 Sep 1979
Hungary,,19 Jun 1987 a
Iran (Islamic Republic of),23 May 1969,
Ireland,,7 Aug 2006 a
Italy,22 Apr 1970,25 Jul 1974
Jamaica,23 May 1969,28 Jul 1970
Japan,,2 Jul 1981 a
Kazakhstan,,5 Jan 1994 a
Kenya,23 May 1969,
Kiribati,,15 Sep 2005 a
Kuwait,,11 Nov 1975 a
Kyrgyzstan,,11 May 1999 a
Lao People's Democratic Republic,,31 Mar 1998 a
Latvia,,4 May 1993 a
Lesotho,,3 Mar 1972 a
Liberia,23 May 1969,29 Aug 1985
Libya,,22 Dec 2008 a
Liechtenstein,,8 Feb 1990 a
Lithuania,,15 Jan 1992 a
Luxembourg,4 Sep 1969,23 May 2003
Madagascar,23 May 1969,
Malawi,,23 Aug 1983 a
Malaysia,,27 Jul 1994 a
Maldives,,14 Sep 2005 a
Mali,,31 Aug 1998 a
Malta,,26 Sep 2012 a
Mauritius,,18 Jan 1973 a
Mexico,23 May 1969,25 Sep 1974
Mongolia,,16 May 1988 a
Montenegro,,23 Oct 2006 d
Morocco,23 May 1969,26 Sep 1972
Mozambique,,8 May 2001 a
Myanmar,,16 Sep 1998 a
Nauru,,5 May 1978 a
Nepal,23 May 1969,
Netherlands,,9 Apr 1985 a
New Zealand,29 Apr 1970,4 Aug 1971
Niger,,27 Oct 1971 a
Nigeria,23 May 1969,31 Jul 1969
Oman,,18 Oct 1990 a
Pakistan,29 Apr 1970,
Panama,,28 Jul 1980 a
Paraguay,,3 Feb 1972 a
Peru,23 May 1969,14 Sep 2000
Philippines,23 May 1969,15 Nov 1972
Poland,,2 Jul 1990 a
Portugal,,6 Feb 2004 a
Republic of Korea,27 Nov 1969,27 Apr 1977
Republic of Moldova,,26 Jan 1993 a
Russian Federation,,29 Apr 1986 a
Rwanda,,3 Jan 1980 a
Saudi Arabia,,14 Apr 2003 a
Senegal,,11 Apr 1986 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,9 Aug 1989 a
Spain,,16 May 1972 a
St. Vincent and the Grenadines,,27 Apr 1999 a
Sudan,23 May 1969,18 Apr 1990
Suriname,,31 Jan 1991 a
Sweden,23 Apr 1970,4 Feb 1975
Switzerland,,7 May 1990 a
Syrian Arab Republic,,2 Oct 1970 a
Tajikistan,,6 May 1996 a
The former Yugoslav Republic of Macedonia,,8 Jul 1999 d
Timor-Leste,,8 Jan 2013 a
Togo,,28 Dec 1979 a
Trinidad and Tobago,23 May 1969,
Tunisia,,23 Jun 1971 a
Turkmenistan,,4 Jan 1996 a
Ukraine,,14 May 1986 a
United Kingdom of Great Britain and Northern Ireland,20 Apr 1970,25 Jun 1971
United Republic of Tanzania,,12 Apr 1976 a
United States of America,24 Apr 1970,
Uruguay,23 May 1969,5 Mar 1982
Uzbekistan,,12 Jul 1995 a
Viet Nam,,10 Oct 2001 a
Zambia,23 May 1969,
