Participant,Signature,"Ratification, Accession(a), Succession(d)"
Algeria,,31 Oct 1963 a
Antigua and Barbuda,,25 Oct 1988 d
Australia,,6 Jan 1967 a
Austria,18 May 1956,13 Nov 1957
Belgium,18 May 1956,27 May 1960
Bosnia and Herzegovina,,12 Jan 1994 d
Bulgaria,,18 Jan 1960 a
Cambodia,,4 Aug 1959 a
Cameroon,,24 Sep 1963 a
Canada,,8 Sep 1972 a
Croatia,,31 Aug 1994 d
Cuba,,4 Aug 1965 a
Czech Republic,,2 Jun 1993 d
Denmark,,3 Sep 1965 a
Finland,,15 Jun 1961 a
France,18 May 1956,20 May 1959
Germany,18 May 1956,23 Oct 1961
Greece,,12 Sep 1961 a
Hungary,18 May 1956,23 Jul 1957
Ireland,,7 Jul 1967 a
Israel,,14 Nov 1967 a
Italy,18 May 1956,29 Mar 1962
Jamaica,,11 Nov 1963 d
Japan,,14 May 1971 a
Luxembourg,18 May 1956,25 Oct 1960
Malawi,,24 May 1969 a
Mauritius,,18 Jul 1969 d
Montenegro,,23 Oct 2006 d
Netherlands,18 May 1956,27 Jul 1960
Norway,,22 Nov 1961 a
Poland,18 May 1956,6 May 1959
Portugal,,1 May 1964 a
Romania,,1 Nov 1967 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Slovakia,,28 May 1993 d
Slovenia,,3 Nov 1992 d
Solomon Islands,,3 Sep 1981 d
Spain,,21 Jan 1959 a
Sweden,18 May 1956,11 Aug 1959
Switzerland,18 May 1956,7 Jul 1960
Trinidad and Tobago,,11 Apr 1966 d
United Kingdom of Great Britain and Northern Ireland,18 May 1956,23 May 1958
United States of America,,3 Dec 1968 a
