Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,30 Nov 2004 a
Albania,,27 Jun 2001 a
Algeria,,7 Feb 1989 a
Antigua and Barbuda,,2 Feb 1989 a
Argentina,26 Aug 1958,14 Mar 1989
Armenia,,29 Dec 1997 a
Australia,,26 Mar 1975 a
Austria,,2 May 1961 a
Azerbaijan,,29 Feb 2000 a
Bahamas,,20 Dec 2006 a
Bahrain,,6 Apr 1988 a
Bangladesh,,6 May 1992 a
Barbados,,16 Mar 1993 a
Belarus,29 Dec 1958,15 Nov 1960
Belgium,10 Jun 1958,18 Aug 1975
Benin,,16 May 1974 a
Bolivia (Plurinational State of),,28 Apr 1995 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,20 Dec 1971 a
Brazil,,7 Jun 2002 a
Brunei Darussalam,,25 Jul 1996 a
Bulgaria,17 Dec 1958,10 Oct 1961
Burkina Faso,,23 Mar 1987 a
Cambodia,,5 Jan 1960 a
Cameroon,,19 Feb 1988 a
Canada,,12 May 1986 a
Central African Republic,,15 Oct 1962 a
Chile,,4 Sep 1975 a
China,,22 Jan 1987 a
Colombia,,25 Sep 1979 a
Cook Islands,,12 Jan 2009 a
Costa Rica,10 Jun 1958,26 Oct 1987
Cte d'Ivoire,,1 Feb 1991 a
Croatia,,26 Jul 1993 d
Cuba,,30 Dec 1974 a
Cyprus,,29 Dec 1980 a
Czech Republic,,30 Sep 1993 d
Denmark,,22 Dec 1972 a
Djibouti,,14 Jun 1983 d
Dominica,,28 Oct 1988 a
Dominican Republic,,11 Apr 2002 a
Ecuador,17 Dec 1958,3 Jan 1962
Egypt,,9 Mar 1959 a
El Salvador,10 Jun 1958,26 Feb 1998
Estonia,,30 Aug 1993 a
Fiji,,27 Sep 2010 a
Finland,29 Dec 1958,19 Jan 1962
France,25 Nov 1958,26 Jun 1959
Gabon,,15 Dec 2006 a
Georgia,,2 Jun 1994 a
Germany,10 Jun 1958,30 Jun 1961
Ghana,,9 Apr 1968 a
Greece,,16 Jul 1962 a
