Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Succession(d)"
Argentina,,24 Mar 1958 a
Australia,,13 Jan 1955 a
Belgium,,30 Jun 1958 a
Brazil,,3 Nov 1959 a
Cambodia,29 Dec 1953,22 Mar 1957
Cameroon,,15 Jan 1962 d
Canada,23 Dec 1953,7 May 1954
Central African Republic,,4 Sep 1962 d
Chile,9 Jul 1953,9 May 1957
China,,25 May 1954
Congo,,15 Oct 1962 d
Costa Rica,16 Oct 1953,
Cte d'Ivoire,,8 Dec 1961 d
Cuba,,8 Sep 1954 a
Democratic Republic of the Congo,,31 May 1962 d
Denmark,23 Jun 1953,20 Jul 1954
Dominican Republic,23 Jun 1953,9 Jun 1958
Ecuador,23 Jun 1953,17 Aug 1955
Egypt,23 Jun 1953,8 Mar 1954
El Salvador,,31 Dec 1959 a
France,23 Jun 1953,21 Apr 1954
Germany,23 Jun 1953,12 Aug 1959
Greece,23 Jun 1953,6 Feb 1963
Guatemala,,29 May 1956 a
India,23 Jun 1953,30 Apr 1954
Indonesia,,11 Jul 1957 a
Iran (Islamic Republic of),15 Dec 1953,30 Dec 1959
Iraq,29 Dec 1953,
Israel,30 Dec 1953,8 Oct 1957
Italy,23 Jun 1953,13 Nov 1957
Japan,23 Jun 1953,21 Jul 1954
Jordan,,7 May 1958 a
Lebanon,11 Nov 1953,
Liechtenstein,23 Jun 1953,24 May 1961
Luxembourg,,28 Jun 1955 a
Madagascar,,31 Jul 1963 d
Monaco,26 Jun 1953,12 Apr 1956
Montenegro,23 Oct 2006 d,
Netherlands,30 Dec 1953,
New Zealand,[28 Dec 1953 ],[  2 Nov 1956 ]
Nicaragua,,11 Dec 1959 a
Niger,,7 Dec 1964 d
Pakistan,3 Dec 1953,10 Mar 1955
Panama,28 Dec 1953,13 Apr 1954
Papua New Guinea,,28 Oct 1980 d
Paraguay,,15 Aug 2001 a
Philippines,23 Jun 1953,1 Jun 1955
Republic of Korea,23 Jun 1953,29 Apr 1958
Rwanda,,30 Apr 1964 d
Senegal,,2 May 1963 d
Serbia,12 Mar 2001 d,
South Africa,29 Dec 1953,9 Mar 1960
Spain,22 Oct 1953,15 Jun 1956
Sri Lanka,,4 Dec 1957 a
Sweden,,16 Jan 1958 a
Switzerland,23 Jun 1953,27 Nov 1956
Turkey,28 Dec 1953,15 Jul 1963
United Kingdom of Great Britain and Northern Ireland,23 Jun 1953,
United States of America,23 Jun 1953,18 Feb 1955
Venezuela (Bolivarian Republic of),30 Dec 1953,
