Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,,11 Sep 2002 a
Albania,8 Sep 1998,29 Feb 2000
Algeria,3 Dec 1997,9 Oct 2001
Andorra,3 Dec 1997,29 Jun 1998
Angola,4 Dec 1997,5 Jul 2002
Antigua and Barbuda,3 Dec 1997,3 May 1999
Argentina,4 Dec 1997,14 Sep 1999
Australia,3 Dec 1997,14 Jan 1999
Austria,3 Dec 1997,29 Jun 1998
Bahamas,3 Dec 1997,31 Jul 1998
Bangladesh,7 May 1998,6 Sep 2000
Barbados,3 Dec 1997,26 Jan 1999
Belarus,,3 Sep 2003 a
Belgium,3 Dec 1997,4 Sep 1998
Belize,27 Feb 1998,23 Apr 1998
Benin,3 Dec 1997,25 Sep 1998
Bhutan,,18 Aug 2005 a
Bolivia (Plurinational State of),3 Dec 1997,9 Jun 1998
Bosnia and Herzegovina,3 Dec 1997,8 Sep 1998
Botswana,3 Dec 1997,1 Mar 2000
Brazil,3 Dec 1997,30 Apr 1999
Brunei Darussalam,4 Dec 1997,24 Apr 2006
Bulgaria,3 Dec 1997,4 Sep 1998
Burkina Faso,3 Dec 1997,16 Sep 1998
Burundi,3 Dec 1997,22 Oct 2003
Cambodia,3 Dec 1997,28 Jul 1999
Cameroon,3 Dec 1997,19 Sep 2002
Canada,3 Dec 1997,3 Dec 1997
Cape Verde,4 Dec 1997,14 May 2001
Central African Republic,,8 Nov 2002 a
Chad,6 Jul 1998,6 May 1999
Chile,3 Dec 1997,10 Sep 2001
Colombia,3 Dec 1997,6 Sep 2000
Comoros,,19 Sep 2002 a
Congo,,4 May 2001 a
Cook Islands,3 Dec 1997,15 Mar 2006
Costa Rica,3 Dec 1997,17 Mar 1999
Cte d'Ivoire,3 Dec 1997,30 Jun 2000
Croatia,4 Dec 1997,20 May 1998
Cyprus,4 Dec 1997,17 Jan 2003
Czech Republic,3 Dec 1997,26 Oct 1999
Democratic Republic of the Congo,,2 May 2002 a
Denmark,4 Dec 1997,8 Jun 1998
Djibouti,3 Dec 1997,18 May 1998
Dominica,3 Dec 1997,26 Mar 1999
Dominican Republic,3 Dec 1997,30 Jun 2000
Ecuador,4 Dec 1997,29 Apr 1999
El Salvador,4 Dec 1997,27 Jan 1999
Equatorial Guinea,,16 Sep 1998 a
Eritrea,,27 Aug 2001 a
Estonia,,12 May 2004 a
Ethiopia,3 Dec 1997,17 Dec 2004
Fiji,3 Dec 1997,10 Jun 1998
Finland,,9 Jan 2012 a
France,3 Dec 1997,23 Jul 1998
Gabon,3 Dec 1997,8 Sep 2000
Gambia,4 Dec 1997,23 Sep 2002
Germany,3 Dec 1997,23 Jul 1998
Ghana,4 Dec 1997,30 Jun 2000
Greece,3 Dec 1997,25 Sep 2003
Grenada,3 Dec 1997,19 Aug 1998
Guatemala,3 Dec 1997,26 Mar 1999
Guinea,4 Dec 1997,8 Oct 1998
Guinea-Bissau,3 Dec 1997,22 May 2001
Guyana,4 Dec 1997,5 Aug 2003
Haiti,3 Dec 1997,15 Feb 2006
Holy See,4 Dec 1997,17 Feb 1998
Honduras,3 Dec 1997,24 Sep 1998
Hungary,3 Dec 1997,6 Apr 1998
Iceland,4 Dec 1997,5 May 1999
Indonesia,4 Dec 1997,16 Feb 2007
Iraq,,15 Aug 2007 a
Ireland,3 Dec 1997,3 Dec 1997
Italy,3 Dec 1997,23 Apr 1999
Jamaica,3 Dec 1997,17 Jul 1998
Japan,3 Dec 1997,30 Sep 1998 A
Jordan,11 Aug 1998,13 Nov 1998
Kenya,5 Dec 1997,23 Jan 2001
Kiribati,,7 Sep 2000 a
Kuwait,,30 Jul 2007 a
Latvia,,1 Jul 2005 a
Lesotho,4 Dec 1997,2 Dec 1998
Liberia,,23 Dec 1999 a
Liechtenstein,3 Dec 1997,5 Oct 1999
Lithuania,26 Feb 1999,12 May 2003
Luxembourg,4 Dec 1997,14 Jun 1999
Madagascar,4 Dec 1997,16 Sep 1999
Malawi,4 Dec 1997,13 Aug 1998
Malaysia,3 Dec 1997,22 Apr 1999
Maldives,1 Oct 1998,7 Sep 2000
Mali,3 Dec 1997,2 Jun 1998
Malta,4 Dec 1997,7 May 2001
Marshall Islands,4 Dec 1997,
Mauritania,3 Dec 1997,21 Jul 2000
Mauritius,3 Dec 1997,3 Dec 1997
Mexico,3 Dec 1997,9 Jun 1998
Monaco,4 Dec 1997,17 Nov 1998
Montenegro,,23 Oct 2006 d
Mozambique,3 Dec 1997,25 Aug 1998
Namibia,3 Dec 1997,21 Sep 1998
Nauru,,7 Aug 2000 a
Netherlands,3 Dec 1997,12 Apr 1999 A
New Zealand,3 Dec 1997,27 Jan 1999
Nicaragua,4 Dec 1997,30 Nov 1998
Niger,4 Dec 1997,23 Mar 1999
Nigeria,,27 Sep 2001 a
Niue,3 Dec 1997,15 Apr 1998
Norway,3 Dec 1997,9 Jul 1998
Palau,,19 Nov 2007 a
Panama,4 Dec 1997,7 Oct 1998
Papua New Guinea,,28 Jun 2004 a
Paraguay,3 Dec 1997,13 Nov 1998
Peru,3 Dec 1997,17 Jun 1998
Philippines,3 Dec 1997,15 Feb 2000
Poland,4 Dec 1997,27 Dec 2012
Portugal,3 Dec 1997,19 Feb 1999
Qatar,4 Dec 1997,13 Oct 1998
Republic of Moldova,3 Dec 1997,8 Sep 2000
Romania,3 Dec 1997,30 Nov 2000
Rwanda,3 Dec 1997,8 Jun 2000
Samoa,3 Dec 1997,23 Jul 1998
San Marino,3 Dec 1997,18 Mar 1998
Sao Tome and Principe,30 Apr 1998,31 Mar 2003
Senegal,3 Dec 1997,24 Sep 1998
Serbia,,18 Sep 2003 a
Seychelles,4 Dec 1997,2 Jun 2000
Sierra Leone,29 Jul 1998,25 Apr 2001
Slovakia,3 Dec 1997,25 Feb 1999 AA
Slovenia,3 Dec 1997,27 Oct 1998
Solomon Islands,4 Dec 1997,26 Jan 1999
Somalia,,16 Apr 2012 a
South Africa,3 Dec 1997,26 Jun 1998
South Sudan,,11 Nov 2011 d
Spain,3 Dec 1997,19 Jan 1999
St. Kitts and Nevis,3 Dec 1997,2 Dec 1998
St. Lucia,3 Dec 1997,13 Apr 1999
St. Vincent and the Grenadines,3 Dec 1997,1 Aug 2001
Sudan,4 Dec 1997,13 Oct 2003
Suriname,4 Dec 1997,23 May 2002
Swaziland,4 Dec 1997,22 Dec 1998
Sweden,4 Dec 1997,30 Nov 1998
Switzerland,3 Dec 1997,24 Mar 1998
Tajikistan,,12 Oct 1999 a
Thailand,3 Dec 1997,27 Nov 1998
The former Yugoslav Republic of Macedonia,,9 Sep 1998 a
Timor-Leste,,7 May 2003 a
Togo,4 Dec 1997,9 Mar 2000
Trinidad and Tobago,4 Dec 1997,27 Apr 1998
Tunisia,4 Dec 1997,9 Jul 1999
Turkey,,25 Sep 2003 a
Turkmenistan,3 Dec 1997,19 Jan 1998
Tuvalu,,13 Sep 2011 a
Uganda,3 Dec 1997,25 Feb 1999
Ukraine,24 Feb 1999,27 Dec 2005
United Kingdom of Great Britain and Northern Ireland,3 Dec 1997,31 Jul 1998
United Republic of Tanzania,3 Dec 1997,13 Nov 2000
Uruguay,3 Dec 1997,7 Jun 2001
Vanuatu,4 Dec 1997,16 Sep 2005
Venezuela (Bolivarian Republic of),3 Dec 1997,14 Apr 1999
Yemen,4 Dec 1997,1 Sep 1998
Zambia,12 Dec 1997,23 Feb 2001
Zimbabwe,3 Dec 1997,18 Jun 1998
