Participant,Signature,"Ratification, Accession(a), Succession(d)"
Albania,,27 Jun 2001 a
Austria,21 Apr 1961,6 Mar 1964
Azerbaijan,,17 Jan 2005 a
Belarus,21 Apr 1961,14 Oct 1963
Belgium,21 Apr 1961,9 Oct 1975
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,21 Apr 1961,13 May 1964
Burkina Faso,,26 Jan 1965 a
Croatia,,26 Jul 1993 d
Cuba,,1 Sep 1965 a
Czech Republic,,30 Sep 1993 d
Denmark,21 Apr 1961,22 Dec 1972
Finland,21 Dec 1961,
France,21 Apr 1961,16 Dec 1966
Germany,21 Apr 1961,27 Oct 1964
Hungary,21 Apr 1961,9 Oct 1963
Italy,21 Apr 1961,3 Aug 1970
Kazakhstan,,20 Nov 1995 a
Latvia,,20 Mar 2003 a
Luxembourg,,26 Mar 1982 a
Montenegro,,23 Oct 2006 d
Poland,21 Apr 1961,15 Sep 1964
Republic of Moldova,,5 Mar 1998 a
Romania,21 Apr 1961,16 Aug 1963
Russian Federation,21 Apr 1961,27 Jun 1962
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Spain,14 Dec 1961,12 May 1975
The former Yugoslav Republic of Macedonia,,10 Mar 1994 d
Turkey,21 Apr 1961,24 Jan 1992
Ukraine,21 Apr 1961,18 Mar 1963
