Participant,Application
Albania,15 Dec 2003
Angola,9 May 2012
Australia,9 May 1986
Austria,8 Nov 1962
Belgium,14 Mar 1962
Bosnia and Herzegovina,1 Sep 1993
Brazil,22 Mar 1963
Cameroon,30 Apr 1992
China,30 Jun 1981
Cote d'Ivoire,4 Jun 1962
Croatia,12 Oct 1992
Czech Republic,22 Feb 1993
Democratic Republic of the Congo,8 Dec 1964
Denmark,3 Aug 1962
Estonia,7 Nov 2008
Finland,16 Nov 1962
France,2 Aug 2000
Gabon,30 Nov 1982
Gambia,1 Aug 1966
Georgia,18 Jul 2007
Germany,11 Jun 1985
Greece,21 Jun 1977
Guatemala,18 May 1962
Guinea,29 Mar 1968
Guyana,13 Sep 1973
Hungary,12 Nov 1991
Iceland,17 Jan 2006
Indonesia,8 Mar 1972
Iran (Islamic Republic of),16 May 1974
Ireland,10 May 1967
Italy,30 Aug 1985
Japan,18 Apr 1963
Kenya,1 Jul 1965
Kuwait,7 Feb 1963
Latvia,19 Dec 2005
Lesotho,26 Nov 1969
Lithuania,10 Feb 1997
Malawi,2 Aug 1965
Malta,27 Jun 1968
Montenegro,23 Oct 2006
Morocco,3 Nov 1976
Mozambique,6 Oct 2011
Netherlands,28 Jun 1965
Niger,15 May 1968
Norway,22 Nov 2000
Pakistan,17 Jul 1962
Paraguay,13 Jan 2006
Portugal,8 Nov 2012
Republic of Moldova,2 Sep 2011
Russian Federation,29 Jun 1994
Rwanda,23 Jun 1964
Senegal,2 Mar 1966
Serbia,12 Mar 2001
Seychelles,24 Jul 1985
Slovakia,28 May 1993
Slovenia,6 Jul 1992
South Africa,30 Aug 2002
Spain,26 Sep 1974
St. Lucia,2 Sep 1986
Sweden,11 Apr 1962
Switzerland,25 Sep 2012
The former Yugoslav Republic of Macedonia,11 Mar 1996
Uganda,11 Aug 1983
Ukraine,25 Feb 1993
Uzbekistan,18 Feb 1997
Vanuatu,2 Jan 2008
Zimbabwe,5 Mar 1991
