Participant,Application
Albania,15 Dec 2003
Algeria,25 Mar 1964
Angola,9 May 2012
Argentina,10 Oct 1963
Australia,9 May 1986
Austria,21 Jul 1950
Bahrain,17 Sep 1992
Belgium,14 Mar 1962
Bosnia and Herzegovina,1 Sep 1993
Botswana,5 Apr 1983
Brazil,24 Apr 1963
Bulgaria,24 Jan 2000
Burkina Faso,6 Apr 1962
Cameroon,30 Apr 1992
Chile,21 Sep 1951
China,30 Jun 1981
Cote d'Ivoire,4 Jun 1962
Croatia,12 Oct 1992
Czech Republic,22 Feb 1993
Democratic Republic of the Congo,8 Dec 1964
Denmark,25 Jan 1950
Ecuador,7 Jul 1953
Egypt,28 Sep 1954
Estonia,8 Oct 1997
Finland,31 Jul 1958
France,2 Aug 2000
Gabon,30 Nov 1982
Gambia,1 Aug 1966
Georgia,18 Jul 2007
Germany,10 Oct 1957
Ghana,9 Sep 1958
Greece,21 Jun 1977
Guatemala,30 Jun 1951
Guinea,29 Mar 1968
Guyana,13 Sep 1973
Haiti,16 Apr 1952
Honduras,16 Aug 2012
Hungary,19 Aug 1982
Iceland,17 Jan 2006
India,19 Oct 1949
Indonesia,8 Mar 1972
Iran (Islamic Republic of),16 May 1974
Iraq,9 Jul 1954
Ireland,10 May 1967
Italy,30 Aug 1985
Japan,18 Apr 1963
Kenya,1 Jul 1965
Kuwait,7 Feb 1963
Lao People's Democratic Republic,9 Aug 1960
Latvia,19 Dec 2005
Lesotho,26 Nov 1969
Libya,30 Apr 1958
Lithuania,10 Feb 1997
Luxembourg,20 Sep 1950
Madagascar,3 Jan 1966
Malawi,2 Aug 1965
Mali,24 Jun 1968
Malta,27 Jun 1968
Montenegro,23 Oct 2006
Morocco,3 Nov 1976
Mozambique,6 Oct 2011
Nepal,28 Sep 1965
Netherlands,21 Jul 1949
Nicaragua,6 Apr 1959
Niger,15 May 1968
Norway,25 Jan 1950
Pakistan,23 Jul 1951
Paraguay,13 Jan 2006
Philippines,20 Mar 1950
Poland,11 Jun 1990
Portugal,8 Nov 2012
Republic of Korea,13 May 1977
Republic of Moldova,2 Sep 2011
Romania,23 Aug 1974
Russian Federation,29 Jun 1994
Rwanda,23 Jun 1964
San Marino,21 Feb 2013
Senegal,2 Mar 1966
Serbia,12 Mar 2001
Seychelles,24 Jul 1985
Slovakia,28 May 1993
Slovenia,6 Jul 1992
South Africa,30 Aug 2002
Spain,26 Sep 1974
St. Lucia,2 Sep 1986
Sweden,12 Sep 1951
Switzerland,25 Sep 2012
Thailand,19 Jun 1961
The former Yugoslav Republic of Macedonia,11 Mar 1996
Trinidad and Tobago,19 Oct 1965
Tunisia,3 Dec 1957
Uganda,11 Aug 1983
Ukraine,25 Feb 1993
United Arab Emirates,11 Dec 2003
United Republic of Tanzania,10 Apr 1963
Uruguay,29 Dec 1977
Uzbekistan,18 Feb 1997
Vanuatu,2 Jan 2008
Zimbabwe,5 Mar 1991
