Participant,Signature,"Accession(a), Succession(d), Ratification"
Albania,,27 Jul 1960 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,,10 Oct 1963 a
Armenia,,18 May 1994 a
Australia,,14 Mar 1961 a
Austria,,19 Jan 1968 a
Azerbaijan,,16 Aug 1996 a
Bahamas,,10 Jun 1976 d
Barbados,,26 Oct 1979 a
Belarus,7 Oct 1957,23 Dec 1958
Belgium,15 May 1972,
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,26 Jul 1966,4 Dec 1968
Bulgaria,,22 Jun 1960 a
Cambodia,11 Nov 2001,
Canada,20 Feb 1957,21 Oct 1959
Chile,18 Mar 1957,
China,20 Feb 1957,22 Sep 1958
Colombia,20 Feb 1957,
Côte d'Ivoire,,2 Nov 1999 a
Croatia,,12 Oct 1992 d
Cuba,20 Feb 1957,5 Dec 1957
Cyprus,,26 Apr 1971 d
Czech Republic,,22 Feb 1993 d
Denmark,20 Feb 1957,22 Jun 1959
Dominican Republic,20 Feb 1957,10 Oct 1957
Ecuador,16 Jan 1958,29 Mar 1960
Fiji,,12 Jun 1972 d
Finland,,15 May 1968 a
Germany,,7 Feb 1974 a
Ghana,,15 Aug 1966 a
Guatemala,20 Feb 1957,13 Jul 1960
Guinea,19 Mar 1975,
Hungary,5 Dec 1957,3 Dec 1959
Iceland,,18 Oct 1977 a
India,15 May 1957,
Ireland,24 Sep 1957,25 Nov 1957
Israel,12 Mar 1957,7 Jun 1957
Jamaica,12 Mar 1957,30 Jul 1964 d
Jordan,,1 Jul 1992 a
Kazakhstan,,28 Mar 2000 a
Kyrgyzstan,,10 Feb 1997 a
Latvia,,14 Apr 1992 a
Lesotho,,4 Nov 1974 d
Liberia,,16 Sep 2005 a
Libya,,16 May 1989 a
Luxembourg,11 Sep 1975,22 Jul 1977
Madagascar,12 Sep 2002,
Malawi,,8 Sep 1966 a
Malaysia,,24 Feb 1959 a
Mali,,2 Feb 1973 a
Malta,,7 Jun 1967 d
Mauritius,,18 Jul 1969 d
Mexico,,4 Apr 1979 a
Montenegro,,23 Oct 2006 d
Netherlands,,8 Aug 1966 a
New Zealand,7 Jul 1958,17 Dec 1958
Nicaragua,,9 Jan 1986 a
Norway,9 Sep 1957,20 May 1958
Pakistan,10 Apr 1958,
Poland,,3 Jul 1959 a
Portugal,21 Feb 1957,
Romania,,2 Dec 1960 a
Russian Federation,6 Sep 1957,17 Sep 1958
Rwanda,,26 Sep 2003 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Singapore,,18 Mar 1966 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,29 Jan 1993,17 Dec 2002
Sri Lanka,,30 May 1958 a
St. Lucia,,14 Oct 1991 d
St. Vincent and the Grenadines,,27 Apr 1999 d
Swaziland,,18 Sep 1970 a
Sweden,6 May 1957,13 May 1958
The former Yugoslav Republic of Macedonia,,20 Apr 1994 d
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,,24 Jan 1968 a
Uganda,,15 Apr 1965 a
Ukraine,15 Oct 1957,3 Dec 1958
United Kingdom of Great Britain and Northern Ireland,20 Feb 1957,28 Aug 1957
United Republic of Tanzania,,28 Nov 1962 a
Uruguay,20 Feb 1957,
Venezuela (Bolivarian Republic of),,31 May 1983 a
Zambia,,22 Jan 1975 d
Zimbabwe,,1 Dec 1998 d
