Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,6 Jul 1983 a
Algeria,23 Jan 1974,26 May 1982
Antigua and Barbuda,,7 Oct 1982 a
Argentina,6 Jun 1975,7 Nov 1985
Armenia,,23 Jun 1993 a
Azerbaijan,,16 Aug 1996 a
Bahamas,,31 Mar 1981 a
Bahrain,,27 Mar 1990 a
Bangladesh,,5 Feb 1985 a
Barbados,,7 Feb 1979 a
Belarus,4 Mar 1974,2 Dec 1975
Benin,7 Oct 1974,30 Dec 1974
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,27 Jun 1974,18 Jul 1974
Burkina Faso,3 Feb 1976,24 Oct 1978
Burundi,,12 Jul 1978 a
Cambodia,,28 Jul 1981 a
Cameroon,,1 Nov 1976 a
Cape Verde,,12 Jun 1979 a
Central African Republic,,8 May 1981 a
Chad,23 Oct 1974,23 Oct 1974
China,,18 Apr 1983 a
Colombia,,23 May 1988 a
Congo,,5 Oct 1983 a
Costa Rica,,15 Oct 1986 a
Croatia,,12 Oct 1992 d
Cuba,,1 Feb 1977 a
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,11 Jul 1978 a
Ecuador,12 Mar 1975,12 May 1975
Egypt,,13 Jun 1977 a
El Salvador,,30 Nov 1979 a
Estonia,,21 Oct 1991 a
Ethiopia,,19 Sep 1978 a
Gabon,,29 Feb 1980 a
Gambia,,29 Dec 1978 a
Georgia,,21 Mar 2005 a
Ghana,,1 Aug 1978 a
Guatemala,,15 Jun 2005 a
Guinea,1 Mar 1974,3 Mar 1975
Guyana,,30 Sep 1977 a
Haiti,,19 Dec 1977 a
Honduras,,29 Apr 2005 a
Hungary,26 Apr 1974,20 Jun 1974
India,,22 Sep 1977 a
Iran (Islamic Republic of),,17 Apr 1985 a
Iraq,1 Jul 1975,9 Jul 1975
Jamaica,30 Mar 1976,18 Feb 1977
Jordan,5 Jun 1974,1 Jul 1992
Kenya,2 Oct 1974,
Kuwait,,23 Feb 1977 a
Kyrgyzstan,,5 Sep 1997 a
Lao People's Democratic Republic,,5 Oct 1981 a
Latvia,,14 Apr 1992 a
Lesotho,,4 Nov 1983 a
Liberia,,5 Nov 1976 a
Libya,,8 Jul 1976 a
Madagascar,,26 May 1977 a
Maldives,,24 Apr 1984 a
Mali,,19 Aug 1977 a
Mauritania,,13 Dec 1988 a
Mexico,,4 Mar 1980 a
Mongolia,17 May 1974,8 Aug 1975
Montenegro,,23 Oct 2006 d
Mozambique,,18 Apr 1983 a
Namibia,,11 Nov 1982 a
Nepal,,12 Jul 1977 a
Nicaragua,,28 Mar 1980 a
Niger,,28 Jun 1978 a
Nigeria,26 Jun 1974,31 Mar 1977
Oman,3 Apr 1974,22 Aug 1991
Pakistan,,27 Feb 1986 a
Panama,7 May 1976,16 Mar 1977
Paraguay,,2 Dec 2005 a
Peru,,1 Nov 1978 a
Philippines,2 May 1974,26 Jan 1978
Poland,7 Jun 1974,15 Mar 1976
Qatar,18 Mar 1975,19 Mar 1975
Republic of Moldova,,28 Oct 2005 a
Romania,6 Sep 1974,15 Aug 1978
Russian Federation,12 Feb 1974,26 Nov 1975
Rwanda,15 Oct 1974,23 Jan 1981
Sao Tome and Principe,,5 Oct 1979 a
Senegal,,18 Feb 1977 a
Serbia,,12 Mar 2001 d
Seychelles,,13 Feb 1978 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Somalia,2 Aug 1974,28 Jan 1975
Sri Lanka,,18 Feb 1982 a
St. Vincent and the Grenadines,,9 Nov 1981 a
Sudan,10 Oct 1974,21 Mar 1977
Suriname,,3 Jun 1980 a
Syrian Arab Republic,17 Jan 1974,18 Jun 1976
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Togo,,24 May 1984 a
Trinidad and Tobago,7 Apr 1975,26 Oct 1979
Tunisia,,21 Jan 1977 a
Uganda,11 Mar 1975,10 Jun 1986
Ukraine,20 Feb 1974,10 Nov 1975
United Arab Emirates,9 Sep 1975,15 Oct 1975
United Republic of Tanzania,,11 Jun 1976 a
Uruguay,,19 Apr 2012 a
Venezuela (Bolivarian Republic of),,28 Jan 1983 a
Viet Nam,,9 Jun 1981 a
Yemen,,17 Aug 1987 a
Zambia,,14 Feb 1983 a
Zimbabwe,,13 May 1991 a
