Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,14 Aug 1980,5 Mar 2003
Albania,,11 May 1994 a
Algeria,,22 May 1996 a
Andorra,,15 Jan 1997 a
Angola,,17 Sep 1986 a
Antigua and Barbuda,,1 Aug 1989 a
Argentina,17 Jul 1980,15 Jul 1985
Armenia,,13 Sep 1993 a
Australia,17 Jul 1980,28 Jul 1983
Austria,17 Jul 1980,31 Mar 1982
Azerbaijan,,10 Jul 1995 a
Bahamas,,6 Oct 1993 a
Bahrain,,18 Jun 2002 a
Bangladesh,,6 Nov 1984 a
Barbados,24 Jul 1980,16 Oct 1980
Belarus,17 Jul 1980,4 Feb 1981
Belgium,17 Jul 1980,10 Jul 1985
Belize,7 Mar 1990,16 May 1990
Benin,11 Nov 1981,12 Mar 1992
Bhutan,17 Jul 1980,31 Aug 1981
Bolivia (Plurinational State of),30 May 1980,8 Jun 1990
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,13 Aug 1996 a
Brazil,31 Mar 1981,1 Feb 1984
Brunei Darussalam,,24 May 2006 a
Bulgaria,17 Jul 1980,8 Feb 1982
Burkina Faso,,14 Oct 1987 a
Burundi,17 Jul 1980,8 Jan 1992
Cambodia,17 Oct 1980,15 Oct 1992 a
Cameroon,6 Jun 1983,23 Aug 1994
Canada,17 Jul 1980,10 Dec 1981
Cape Verde,,5 Dec 1980 a
Central African Republic,,21 Jun 1991 a
Chad,,9 Jun 1995 a
Chile,17 Jul 1980,7 Dec 1989
China,17 Jul 1980,4 Nov 1980
Colombia,17 Jul 1980,19 Jan 1982
Comoros,,31 Oct 1994 a
Congo,29 Jul 1980,26 Jul 1982
Cook Islands,,11 Aug 2006 a
Costa Rica,17 Jul 1980,4 Apr 1986
Cte d'Ivoire,17 Jul 1980,18 Dec 1995
Croatia,,9 Sep 1992 d
Cuba,6 Mar 1980,17 Jul 1980
Cyprus,,23 Jul 1985 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,27 Feb 2001 a
Democratic Republic of the Congo,17 Jul 1980,17 Oct 1986
Denmark,17 Jul 1980,21 Apr 1983
Djibouti,,2 Dec 1998 a
Dominica,15 Sep 1980,15 Sep 1980
Dominican Republic,17 Jul 1980,2 Sep 1982
Ecuador,17 Jul 1980,9 Nov 1981
Egypt,16 Jul 1980,18 Sep 1981
El Salvador,14 Nov 1980,19 Aug 1981
Equatorial Guinea,,23 Oct 1984 a
Eritrea,,5 Sep 1995 a
Estonia,,21 Oct 1991 a
Ethiopia,8 Jul 1980,10 Sep 1981
Fiji,,28 Aug 1995 a
Finland,17 Jul 1980,4 Sep 1986
France,17 Jul 1980,14 Dec 1983
Gabon,17 Jul 1980,21 Jan 1983
Gambia,29 Jul 1980,16 Apr 1993
Georgia,,26 Oct 1994 a
Germany,17 Jul 1980,10 Jul 1985
Ghana,17 Jul 1980,2 Jan 1986
Greece,2 Mar 1982,7 Jun 1983
Grenada,17 Jul 1980,30 Aug 1990
Guatemala,8 Jun 1981,12 Aug 1982
Guinea,17 Jul 1980,9 Aug 1982
Guinea-Bissau,17 Jul 1980,23 Aug 1985
Guyana,17 Jul 1980,17 Jul 1980
Haiti,17 Jul 1980,20 Jul 1981
Honduras,11 Jun 1980,3 Mar 1983
Hungary,6 Jun 1980,22 Dec 1980
Iceland,24 Jul 1980,18 Jun 1985
India,30 Jul 1980,9 Jul 1993
Indonesia,29 Jul 1980,13 Sep 1984
Iraq,,13 Aug 1986 a
Ireland,,23 Dec 1985 a
Israel,17 Jul 1980,3 Oct 1991
Italy,17 Jul 1980,10 Jun 1985
Jamaica,17 Jul 1980,19 Oct 1984
Japan,17 Jul 1980,25 Jun 1985
Jordan,3 Dec 1980,1 Jul 1992
Kazakhstan,,26 Aug 1998 a
Kenya,,9 Mar 1984 a
Kiribati,,17 Mar 2004 a
Kuwait,,2 Sep 1994 a
Kyrgyzstan,,10 Feb 1997 a
Lao People's Democratic Republic,17 Jul 1980,14 Aug 1981
Latvia,,14 Apr 1992 a
Lebanon,,16 Apr 1997 a
Lesotho,17 Jul 1980,22 Aug 1995
Liberia,,17 Jul 1984 a
Libya,,16 May 1989 a
Liechtenstein,,22 Dec 1995 a
Lithuania,,18 Jan 1994 a
Luxembourg,17 Jul 1980,2 Feb 1989
Madagascar,17 Jul 1980,17 Mar 1989
Malawi,,12 Mar 1987 a
Malaysia,,5 Jul 1995 a
Maldives,,1 Jul 1993 a
Mali,5 Feb 1985,10 Sep 1985
