Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Afghanistan,,11 Dec 1946 s
Albania,,23 Jun 1947 A
Argentina,,11 Dec 1946 s
Australia,11 Dec 1946,28 Aug 1947 A
Austria,,17 May 1950 A
Bahamas,,13 Aug 1975 d
Belarus,,11 Dec 1946 s
Belgium,,11 Dec 1946 s
Bolivia (Plurinational State of),,11 Dec 1946 s
Brazil,,17 Dec 1946 s
Canada,,11 Dec 1946 s
Chile,,11 Dec 1946 s
China,,11 Dec 1946 s
Colombia,,11 Dec 1946 s
Costa Rica,11 Dec 1946,
Cuba,12 Dec 1946,
Czech Republic,,30 Dec 1993 d
Denmark,11 Dec 1946,15 Jun 1949 A
Dominican Republic,,11 Dec 1946 s
Ecuador,13 Dec 1946,8 Jun 1951 A
Egypt,11 Dec 1946,13 Sep 1948 A
Fiji,,1 Nov 1971 d
Finland,,3 Feb 1948 A
France,11 Dec 1946,10 Oct 1947 A
Germany,,12 Aug 1959 A
Greece,11 Dec 1946,21 Feb 1949 A
Guatemala,13 Dec 1946,
Haiti,14 Dec 1946,31 May 1951 A
Honduras,,11 Dec 1946 s
Hungary,,16 Dec 1955 A
India,,11 Dec 1946 s
Iran (Islamic Republic of),,11 Dec 1946 s
Iraq,12 Dec 1946,14 Sep 1950 A
Ireland,,18 Feb 1948 A
Italy,,25 Mar 1948 s
Japan,,27 Mar 1952 A
Lebanon,,13 Dec 1946 s
Liberia,,11 Dec 1946 s
Liechtenstein,,25 Sep 1947 A
Luxembourg,11 Dec 1946,13 Oct 1949 A
Mexico,,11 Dec 1946 s
Monaco,,21 Nov 1947 s
Netherlands,[11 Dec 1946 ],[10 Mar 1948 A]
New Zealand,,11 Dec 1946 s
Nicaragua,13 Dec 1946,24 Apr 1950 A
Norway,11 Dec 1946,2 Jul 1947 A
Panama,,15 Dec 1946 s
Papua New Guinea,,28 Oct 1980 d
Paraguay,14 Dec 1946,
Peru,26 Nov 1948,26 Nov 1948 A
Philippines,11 Dec 1946,25 May 1950 A
Poland,,11 Dec 1946 s
Romania,,11 Oct 1961 A
Russian Federation,11 Dec 1946,25 Oct 1947 A
Saudi Arabia,,11 Dec 1946 s
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
South Africa,15 Dec 1946,24 Feb 1948 A
Spain,,26 Sep 1955 s
Sweden,,17 Oct 1947 s
Switzerland,,25 Sep 1947 A
Syrian Arab Republic,,11 Dec 1946 s
Thailand,,27 Oct 1947 s
Turkey,,11 Dec 1946 s
Ukraine,11 Dec 1946,8 Jan 1948 A
United Kingdom of Great Britain and Northern Ireland,,11 Dec 1946 s
United States of America,11 Dec 1946,12 Aug 1947 A
Uruguay,14 Dec 1946,
Venezuela (Bolivarian Republic of),11 Dec 1946,
