Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,,16 Nov 1966 a
Albania,,6 Nov 1958 a
Algeria,,31 Oct 1963 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,,13 Aug 1964 a
Australia,7 Sep 1956,6 Jan 1958
Austria,,7 Oct 1963 a
Azerbaijan,,16 Aug 1996 a
Bahamas,,10 Jun 1976 d
Bahrain,,27 Mar 1990 a
Bangladesh,,5 Feb 1985 a
Barbados,,9 Aug 1972 d
Belarus,7 Sep 1956,5 Jun 1957
Belgium,7 Sep 1956,13 Dec 1962
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,,6 Jan 1966 a
Bulgaria,26 Jun 1957,21 Aug 1958
Cambodia,,12 Jun 1957 a
Cameroon,,27 Jun 1984 a
Canada,7 Sep 1956,10 Jan 1963
Central African Republic,,30 Dec 1970 a
Chile,,20 Jun 1995 a
Congo,,25 Aug 1977 a
Cte d'Ivoire,,10 Dec 1970 a
Croatia,,12 Oct 1992 d
Cuba,10 Jan 1957,21 Aug 1963
Cyprus,,11 May 1962 d
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,28 Feb 1975 a
Denmark,27 Jun 1957,24 Apr 1958
Djibouti,,21 Mar 1979 a
Dominica,,17 Aug 1994 d
Dominican Republic,,31 Oct 1962 a
Ecuador,,29 Mar 1960 a
Egypt,,17 Apr 1958 a
El Salvador,7 Sep 1956,
Ethiopia,,21 Jan 1969 a
Fiji,,12 Jun 1972 d
Finland,,1 Apr 1959 a
France,7 Sep 1956,26 May 1964
Germany,7 Sep 1956,14 Jan 1959
Ghana,,3 May 1963 a
Greece,7 Sep 1956,13 Dec 1972
Guatemala,7 Sep 1956,11 Nov 1983
Guinea,,14 Mar 1977 a
Haiti,7 Sep 1956,12 Feb 1958
Hungary,7 Sep 1956,26 Feb 1958
Iceland,,17 Nov 1965 a
India,7 Sep 1956,23 Jun 1960
Iran (Islamic Republic of),,30 Dec 1959 a
Iraq,7 Sep 1956,30 Sep 1963
Ireland,,18 Sep 1961 a
Israel,7 Sep 1956,23 Oct 1957
Italy,7 Sep 1956,12 Feb 1958
Jamaica,,30 Jul 1964 d
Jordan,,27 Sep 1957 a
Kazakhstan,,1 May 2008 a
Kuwait,,18 Jan 1963 a
Kyrgyzstan,,5 Sep 1997 a
Lao People's Democratic Republic,,9 Sep 1957 a
Latvia,,14 Apr 1992 a
Lesotho,,4 Nov 1974 d
Liberia,7 Sep 1956,
Libya,,16 May 1989 a
Luxembourg,7 Sep 1956,1 May 1967
Madagascar,,29 Feb 1972 a
Malawi,,2 Aug 1965 a
Malaysia,,18 Nov 1957 a
Mali,,2 Feb 1973 a
Malta,,3 Jan 1966 d
Mauritania,,6 Jun 1986 a
Mauritius,,18 Jul 1969 d
Mexico,7 Sep 1956,30 Jun 1959
Mongolia,,20 Dec 1968 a
Montenegro,,23 Oct 2006 d
Morocco,,11 May 1959 a
Nepal,,7 Jan 1963 a
Netherlands,7 Sep 1956,3 Dec 1957
New Zealand,,26 Apr 1962 a
Nicaragua,,14 Jan 1986 a
Niger,,22 Jul 1963 a
Nigeria,,26 Jun 1961 d
Norway,7 Sep 1956,3 May 1960
Pakistan,7 Sep 1956,20 Mar 1958
Paraguay,,27 Sep 2007 a
Peru,7 Sep 1956,
Philippines,,17 Nov 1964 a
Poland,7 Sep 1956,10 Jan 1963
Portugal,7 Sep 1956,10 Aug 1959
Romania,7 Sep 1956,13 Nov 1957
Russian Federation,7 Sep 1956,12 Apr 1957
Rwanda,,4 Oct 2006 a
San Marino,7 Sep 1956,29 Aug 1967
Saudi Arabia,,5 Jul 1973 a
Senegal,,19 Jul 1979 a
Serbia,,12 Mar 2001 d
Seychelles,,5 May 1992 a
Sierra Leone,,13 Mar 1962 d
Singapore,,28 Mar 1972 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,3 Sep 1981 d
Spain,,21 Nov 1967 a
Sri Lanka,5 Jun 1957,21 Mar 1958
St. Lucia,,14 Feb 1990 d
St. Vincent and the Grenadines,,9 Nov 1981 a
Sudan,7 Sep 1956,9 Sep 1957
Suriname,,12 Oct 1979 d
Sweden,,28 Oct 1959 a
Switzerland,,28 Jul 1964 a
Syrian Arab Republic,,17 Apr 1958 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Togo,,8 Jul 1980 a
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,,15 Jul 1966 a
Turkey,28 Jun 1957,17 Jul 1964
Turkmenistan,,1 May 1997 a
Uganda,,12 Aug 1964 a
Ukraine,7 Sep 1956,3 Dec 1958
United Kingdom of Great Britain and Northern Ireland,7 Sep 1956,30 Apr 1957
United Republic of Tanzania,,28 Nov 1962 a
United States of America,,6 Dec 1967 a
Uruguay,,7 Jun 2001 a
Zambia,,26 Mar 1973 d
Zimbabwe,,1 Dec 1998 d
