Participant,Application
Algeria,25 Mar 1964
Angola,9 May 2012
Austria,21 Jul 1950
Bahamas,17 Mar 1977
Barbados,19 Nov 1971
Belgium,14 Mar 1962
Bosnia and Herzegovina,1 Sep 1993
Botswana,5 Apr 1983
Brazil,22 Mar 1963
Bulgaria,13 Jun 1968
Burkina Faso,6 Apr 1962
Cambodia,26 Sep 1955
Central African Republic,15 Oct 1962
Chile,21 Sep 1951
Côte d'Ivoire,28 Dec 1961
Cuba,13 Sep 1972
Cyprus,6 May 1964
Democratic Republic of the Congo,8 Dec 1964
Denmark,25 Jan 1950
Ecuador,7 Jul 1953
Egypt,28 Sep 1954
El Salvador,24 Sep 2012
Estonia,8 Oct 1997
Fiji,21 Jun 1971
Finland,31 Jul 1958
Gabon,30 Nov 1982
Gambia,1 Aug 1966
Germany,10 Oct 1957
Ghana,9 Sep 1958
Guatemala,30 Jun 1951
Guinea,29 Mar 1968
Guyana,13 Sep 1973
Haiti,16 Apr 1952
Honduras,16 Aug 2012
Hungary,9 Aug 1973
India,10 Feb 1949
Indonesia,8 Mar 1972
Iraq,9 Jul 1954
Ireland,10 May 1967
Jamaica,4 Nov 1963
Japan,18 Apr 1963
Jordan,12 Dec 1950
Kenya,1 Jul 1965
Lao People's Democratic Republic,9 Aug 1960
Libya,30 Apr 1958
Luxembourg,20 Sep 1950
Madagascar,3 Jan 1966
Malawi,2 Aug 1965
Malaysia,29 Mar 1962
Mali,24 Jun 1968
Malta,27 Jun 1968
Montenegro,23 Oct 2006
Morocco,10 Jun 1958
Mozambique,6 Oct 2011
Nepal,28 Sep 1965
Netherlands,21 Jul 1949
New Zealand,25 Nov 1960
Nicaragua,6 Apr 1959
Niger,15 May 1968
Nigeria,26 Jun 1961
Norway,25 Jan 1950
Pakistan,13 Mar 1962
Philippines,20 Mar 1950
Rwanda,15 Apr 1964
Senegal,2 Mar 1966
Serbia,12 Mar 2001
Sierra Leone,13 Mar 1962
Singapore,18 Mar 1966
Slovenia,6 Jul 1992
Sweden,12 Sep 1951
Thailand,30 Mar 1956
Tonga,17 Mar 1976
Trinidad and Tobago,19 Oct 1965
Tunisia,3 Dec 1957
Uganda,11 Aug 1983
United Kingdom of Great Britain and Northern Ireland,16 Aug 1949
United Republic of Tanzania,29 Oct 1962
Vanuatu,2 Jan 2008
Zambia,16 Jun 1975
