Participant,Signature,"Accession(a), Succession(d), Ratification"
Algeria,,9 Mar 2007 a
Antigua and Barbuda,,13 Dec 1988 d
Argentina,26 Mar 1975,5 May 1993
Australia,,11 Mar 1986 a
Austria,14 Oct 1975,6 Mar 1980
Belarus,30 Jun 1975,26 Jan 1978
Belgium,19 Mar 1975,24 Feb 1977
Brazil,,17 Mar 2006 a
Bulgaria,4 Feb 1976,11 May 1976
Burundi,13 Nov 1975,
Canada,14 Feb 1975,4 Aug 1976
Chile,,17 Sep 1981 a
China,,12 Dec 1988 a
Colombia,,10 Jan 2014 a
Costa Rica,,14 Oct 2010 a
Cuba,,10 Apr 1978 a
Cyprus,,6 Jul 1978 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,10 Mar 2009 a
Denmark,12 Dec 1975,1 Apr 1977
France,14 Jan 1975,17 Dec 1975
Germany,2 Mar 1976,16 Oct 1979
Greece,,27 May 2003 a
Hungary,13 Oct 1975,26 Oct 1977
India,,18 Jan 1982 a
Indonesia,,16 Jul 1997 a
Iran (Islamic Republic of),27 May 1975,
Italy,,8 Dec 2005 a
Japan,,20 Jun 1983 a
Kazakhstan,,11 Jan 2001 a
Lebanon,,12 Apr 2006 a
Libya,,8 Jan 2010 a
Liechtenstein,,26 Feb 1999 a
Lithuania,,8 Mar 2013 a
Mexico,19 Dec 1975,1 Mar 1977
Mongolia,30 Oct 1975,10 Apr 1985
Montenegro,,23 Oct 2006 d
Morocco,,19 Sep 2012 a
Netherlands,,26 Jan 1981 a
Nicaragua,13 May 1975,
Niger,5 Aug 1976,22 Dec 1976
Nigeria,,6 Jul 2009 a
Norway,,28 Jun 1995 a
Pakistan,1 Dec 1975,27 Feb 1986
Peru,,21 Mar 1979 a
Poland,4 Dec 1975,22 Nov 1978
Qatar,,14 Mar 2012 a
Republic of Korea,,14 Oct 1981 a
Russian Federation,17 Jun 1975,13 Jan 1978
Saudi Arabia,,18 Jul 2012 a
Serbia,,12 Mar 2001 d
Seychelles,,28 Dec 1977 a
Singapore,31 Aug 1976,
Slovakia,,28 May 1993 d
South Africa,,27 Jan 2012 a
Spain,,20 Dec 1978 a
St. Vincent and the Grenadines,,27 Apr 1999 d
Sweden,9 Jun 1976,9 Jun 1976
Switzerland,14 Apr 1975,15 Feb 1978
Turkey,,21 Jun 2006 a
Ukraine,11 Jul 1975,14 Sep 1977
United Arab Emirates,,7 Nov 2000 a
United Kingdom of Great Britain and Northern Ireland,6 May 1975,30 Mar 1978
United States of America,24 Jan 1975,15 Sep 1976
Uruguay,,18 Aug 1977 a
