Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,,6 Jul 1983 a
Albania,,11 May 1994 a
Algeria,9 Dec 1966,14 Feb 1972
Andorra,5 Aug 2002,22 Sep 2006
Angola,24 Sep 2013,
Antigua and Barbuda,,25 Oct 1988 d
Argentina,13 Jul 1967,2 Oct 1968
Armenia,,23 Jun 1993 a
Australia,13 Oct 1966,30 Sep 1975
Austria,22 Jul 1969,9 May 1972
Azerbaijan,,16 Aug 1996 a
Bahamas,,5 Aug 1975 d
Bahrain,,27 Mar 1990 a
Bangladesh,,11 Jun 1979 a
Barbados,,8 Nov 1972 a
Belarus,7 Mar 1966,8 Apr 1969
Belgium,17 Aug 1967,7 Aug 1975
Belize,6 Sep 2000,14 Nov 2001
Benin,2 Feb 1967,30 Nov 2001
Bhutan,26 Mar 1973,
Bolivia (Plurinational State of),7 Jun 1966,22 Sep 1970
Bosnia and Herzegovina,,16 Jul 1993 d
Botswana,,20 Feb 1974 a
Brazil,7 Mar 1966,27 Mar 1968
Bulgaria,1 Jun 1966,8 Aug 1966
Burkina Faso,,18 Jul 1974 a
Burundi,1 Feb 1967,27 Oct 1977
Cabo Verde,,3 Oct 1979 a
Cambodia,12 Apr 1966,28 Nov 1983
Cameroon,12 Dec 1966,24 Jun 1971
Canada,24 Aug 1966,14 Oct 1970
Central African Republic,7 Mar 1966,16 Mar 1971
Chad,,17 Aug 1977 a
Chile,3 Oct 1966,20 Oct 1971
China,,29 Dec 1981 a
Colombia,23 Mar 1967,2 Sep 1981
Comoros,22 Sep 2000,27 Sep 2004
Congo,,11 Jul 1988 a
Costa Rica,14 Mar 1966,16 Jan 1967
Côte d'Ivoire,,4 Jan 1973 a
Croatia,,12 Oct 1992 d
Cuba,7 Jun 1966,15 Feb 1972
Cyprus,12 Dec 1966,21 Apr 1967
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,21 Apr 1976 a
Denmark,21 Jun 1966,9 Dec 1971
Djibouti,14 Jun 2006,30 Sep 2011
Dominican Republic,,25 May 1983 a
Ecuador,,22 Sep 1966 a
Egypt,28 Sep 1966,1 May 1967
El Salvador,,30 Nov 1979 a
Equatorial Guinea,,8 Oct 2002 a
Eritrea,,31 Jul 2001 a
Estonia,,21 Oct 1991 a
Ethiopia,,23 Jun 1976 a
Fiji,,11 Jan 1973 d
Finland,6 Oct 1966,14 Jul 1970
France,,28 Jul 1971 a
Gabon,20 Sep 1966,29 Feb 1980
Gambia,,29 Dec 1978 a
Georgia,,2 Jun 1999 a
Germany,10 Feb 1967,16 May 1969
Ghana,8 Sep 1966,8 Sep 1966
Greece,7 Mar 1966,18 Jun 1970
Grenada,17 Dec 1981,10 May 2013
Guatemala,8 Sep 1967,18 Jan 1983
Guinea,24 Mar 1966,14 Mar 1977
Guinea-Bissau,12 Sep 2000,1 Nov 2010
Guyana,11 Dec 1968,15 Feb 1977
Haiti,30 Oct 1972,19 Dec 1972
Holy See,21 Nov 1966,1 May 1969
Honduras,,10 Oct 2002 a
Hungary,15 Sep 1966,4 May 1967
Iceland,14 Nov 1966,13 Mar 1967
India,2 Mar 1967,3 Dec 1968
Indonesia,,25 Jun 1999 a
Iran (Islamic Republic of),8 Mar 1967,29 Aug 1968
Iraq,18 Feb 1969,14 Jan 1970
Ireland,21 Mar 1968,29 Dec 2000
Israel,7 Mar 1966,3 Jan 1979
Italy,13 Mar 1968,5 Jan 1976
Jamaica,14 Aug 1966,4 Jun 1971
Japan,,15 Dec 1995 a
Jordan,,30 May 1974 a
Kazakhstan,,26 Aug 1998 a
Kenya,,13 Sep 2001 a
Kuwait,,15 Oct 1968 a
Kyrgyzstan,,5 Sep 1997 a
Lao People's Democratic Republic,,22 Feb 1974 a
Latvia,,14 Apr 1992 a
Lebanon,,12 Nov 1971 a
Lesotho,,4 Nov 1971 a
Liberia,,5 Nov 1976 a
Libya,,3 Jul 1968 a
Liechtenstein,,1 Mar 2000 a
Lithuania,8 Jun 1998,10 Dec 1998
Luxembourg,12 Dec 1967,1 May 1978
Madagascar,18 Dec 1967,7 Feb 1969
Malawi,,11 Jun 1996 a
Maldives,,24 Apr 1984 a
Mali,,16 Jul 1974 a
Malta,5 Sep 1968,27 May 1971
Mauritania,21 Dec 1966,13 Dec 1988
Mauritius,,30 May 1972 a
Mexico,1 Nov 1966,20 Feb 1975
Monaco,,27 Sep 1995 a
Mongolia,3 May 1966,6 Aug 1969
Montenegro,,23 Oct 2006 d
Morocco,18 Sep 1967,18 Dec 1970
Mozambique,,18 Apr 1983 a
Namibia,,11 Nov 1982 a
Nauru,12 Nov 2001,
Nepal,,30 Jan 1971 a
Netherlands,24 Oct 1966,10 Dec 1971
New Zealand,25 Oct 1966,22 Nov 1972
Nicaragua,,15 Feb 1978 a
Niger,14 Mar 1966,27 Apr 1967
Nigeria,,16 Oct 1967 a
Norway,21 Nov 1966,6 Aug 1970
Oman,,2 Jan 2003 a
Pakistan,19 Sep 1966,21 Sep 1966
Palau,20 Sep 2011,
Panama,8 Dec 1966,16 Aug 1967
Papua New Guinea,,27 Jan 1982 a
Paraguay,13 Sep 2000,18 Aug 2003
Peru,22 Jul 1966,29 Sep 1971
Philippines,7 Mar 1966,15 Sep 1967
Poland,7 Mar 1966,5 Dec 1968
Portugal,,24 Aug 1982 a
Qatar,,22 Jul 1976 a
Republic of Korea,8 Aug 1978,5 Dec 1978
Republic of Moldova,,26 Jan 1993 a
Romania,,15 Sep 1970 a
Russian Federation,7 Mar 1966,4 Feb 1969
Rwanda,,16 Apr 1975 a
San Marino,11 Dec 2001,12 Mar 2002
Sao Tome and Principe,6 Sep 2000,
Saudi Arabia,,23 Sep 1997 a
Senegal,22 Jul 1968,19 Apr 1972
Serbia,,12 Mar 2001 d
Seychelles,,7 Mar 1978 a
Sierra Leone,17 Nov 1966,2 Aug 1967
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,17 Mar 1982 d
Somalia,26 Jan 1967,26 Aug 1975
South Africa,3 Oct 1994,10 Dec 1998
Spain,,13 Sep 1968 a
Sri Lanka,,18 Feb 1982 a
