Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Albania,18 Mar 1992,5 Jan 1994
Armenia,,21 Feb 1997 a
Austria,18 Mar 1992,4 Aug 1999
Azerbaijan,,16 Jun 2004 a
Belarus,,25 Jun 2003 a
Belgium,18 Mar 1992,6 Apr 2006
Bosnia and Herzegovina,,20 Feb 2013 a
Bulgaria,18 Mar 1992,12 May 1995
Canada,18 Mar 1992,
Croatia,,20 Jan 2000 a
Cyprus,,31 Aug 2005 a
Czech Republic,,12 Jun 2000 a
Denmark,18 Mar 1992,28 Mar 2001 AA
Estonia,18 Mar 1992,17 May 2000
European Union,18 Mar 1992,24 Apr 1998 AA
Finland,18 Mar 1992,13 Sep 1999 A
France,18 Mar 1992,3 Oct 2003 AA
Germany,18 Mar 1992,9 Sep 1998
Greece,18 Mar 1992,24 Feb 1998
Hungary,18 Mar 1992,2 Jun 1994 AA
Italy,18 Mar 1992,2 Jul 2002
Kazakhstan,,11 Jan 2001 a
Latvia,18 Mar 1992,29 Jun 2004
Lithuania,18 Mar 1992,2 Nov 2000
Luxembourg,20 May 1992,8 Aug 1994
Monaco,,28 Aug 2001 a
Montenegro,,19 May 2009 a
Netherlands,18 Mar 1992,6 Nov 2006 A
Norway,18 Sep 1992,1 Apr 1993 AA
Poland,18 Mar 1992,8 Sep 2003
Portugal,9 Jun 1992,2 Nov 2006
Republic of Moldova,,4 Jan 1994 a
Romania,,22 May 2003 a
Russian Federation,18 Mar 1992,1 Feb 1994 A
Serbia,,31 Jul 2009 a
Slovakia,,9 Sep 2003 a
Slovenia,,13 May 2002 a
Spain,18 Mar 1992,16 May 1997
Sweden,18 Mar 1992,22 Sep 1999
Switzerland,18 Mar 1992,21 May 1999
The former Yugoslav Republic of Macedonia,,2 Mar 2010 a
United Kingdom of Great Britain and Northern Ireland,18 Mar 1992,5 Aug 2002
United States of America,18 Mar 1992,
