Participant,Signature,"Ratification, Accession(a), Succession(d)"
Argentina,25 Oct 1961,10 Oct 1963
Belgium,,2 May 1968 a
Bosnia and Herzegovina,,12 Jan 1994 d
Botswana,,11 Apr 1969 a
Cambodia,,31 Aug 1965 a
Central African Republic,28 Mar 1962,19 Mar 1973
Democratic Republic of the Congo,,15 Jul 1976 a
Denmark,18 Apr 1961,2 Oct 1968
Dominican Republic,30 Mar 1962,14 Jan 1964
Egypt,,9 Jun 1964 a
Estonia,,21 Oct 1991 a
Finland,20 Oct 1961,9 Dec 1969
Gabon,,2 Apr 1964 a
Germany,28 Mar 1962,11 Nov 1964
Ghana,18 Apr 1961,
Guinea,,10 Jan 1968 a
Iceland,,18 May 1971 a
India,,15 Oct 1965 a
Indonesia,,4 Jun 1982 a
Iran (Islamic Republic of),27 May 1961,3 Feb 1965
Iraq,20 Feb 1962,15 Oct 1963
Italy,13 Mar 1962,25 Jun 1969
Kenya,,1 Jul 1965 a
Lao People's Democratic Republic,,3 Dec 1962 a
Lebanon,18 Apr 1961,
Liberia,,16 Sep 2005 a
Libya,,7 Jun 1977 a
Madagascar,,31 Jul 1963 a
Malawi,,29 Apr 1980 a
Malaysia,,9 Nov 1965 a
Montenegro,,23 Oct 2006 d
Morocco,,23 Feb 1977 a
Myanmar,,7 Mar 1980 a
Nepal,,28 Sep 1965 a
Netherlands,,7 Sep 1984 a
New Zealand,,5 Sep 2003 a
Nicaragua,,9 Jan 1990 a
Niger,,28 Mar 1966 a
Norway,18 Apr 1961,24 Oct 1967
Oman,,31 May 1974 a
Panama,,4 Dec 1963 a
Paraguay,,23 Dec 1969 a
Philippines,20 Oct 1961,15 Nov 1965
Republic of Korea,30 Mar 1962,7 Mar 1977
Senegal,18 Apr 1961,
Serbia,,12 Mar 2001 d
Sri Lanka,,31 Jul 1978 a
Suriname,,28 Oct 1992 a
Sweden,18 Apr 1961,21 Mar 1967
Switzerland,,12 Jun 1992 a
Thailand,30 Oct 1961,23 Jan 1985
The former Yugoslav Republic of Macedonia,,18 Aug 1993 d
Tunisia,,24 Jan 1968 a
United Republic of Tanzania,27 Feb 1962,5 Nov 1962
