Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Australia,19 Sep 2006,
Austria,14 Mar 2006,1 Oct 2007
Azerbaijan,26 Sep 2006,18 Mar 2010
Belgium,15 Sep 2006,3 Oct 2012
Bolivia (Plurinational State of),3 Aug 2006,
Bosnia and Herzegovina,,1 Oct 2009 a
Botswana,,13 Jun 2007 a
Bulgaria,20 Sep 2006,
Central African Republic,27 Feb 2006,
Chile,15 Sep 2006,
Cyprus,13 Sep 2006,
Czech Republic,20 Sep 2006,23 Sep 2008
Denmark,,20 Apr 2011 a
Dominican Republic,,16 Mar 2012 a
Finland,15 Jan 2007,
France,,8 Aug 2008 a
Germany,13 Sep 2006,17 Dec 2007
Guatemala,,11 Nov 2008 a
Jamaica,,5 May 2009 a
Kenya,12 Jan 2007,12 Jan 2007
Lebanon,14 Mar 2006,
Liberia,21 Sep 2006,
Liechtenstein,16 Jan 2006,4 May 2007
Luxembourg,16 Jan 2006,
Mali,5 Jan 2007,5 Nov 2009
Monaco,,19 Apr 2007 a
Netherlands,19 Sep 2006,12 Sep 2007 A
New Zealand,20 Sep 2006,20 Sep 2011
Norway,20 Jan 2006,24 Feb 2006 AA
Poland,15 Sep 2006,1 Nov 2010
Republic of Korea,20 Sep 2006,
Romania,20 Sep 2006,
Senegal,17 Jan 2006,
Sierra Leone,21 Sep 2006,
Singapore,,25 Apr 2011 a
Slovakia,22 Sep 2006,7 May 2007
Slovenia,13 Oct 2006,20 Apr 2009
Spain,19 Sep 2006,27 Sep 2007
Sweden,7 Jul 2006,30 Aug 2006
Switzerland,19 Sep 2006,9 Nov 2007
Tunisia,19 Sep 2006,31 Jan 2008
Ukraine,19 Sep 2006,
United Kingdom of Great Britain and Northern Ireland,,20 Jul 2010 a
Uruguay,15 Sep 2006,
