Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,30 Oct 1958,
Argentina,29 Apr 1958,
Australia,30 Oct 1958,14 May 1963
Belgium,,6 Jan 1972 a
Bolivia (Plurinational State of),17 Oct 1958,
Bosnia and Herzegovina,,12 Jan 1994 d
Burkina Faso,,4 Oct 1965 a
Cambodia,,18 Mar 1960 a
Canada,29 Apr 1958,
Colombia,29 Apr 1958,3 Jan 1963
Congo,,5 Dec 2012 a
Costa Rica,29 Apr 1958,
Cuba,29 Apr 1958,
Denmark,29 Apr 1958,26 Sep 1968
Dominican Republic,29 Apr 1958,11 Aug 1964
Fiji,,25 Mar 1971 d
Finland,27 Oct 1958,16 Feb 1965
France,30 Oct 1958,18 Sep 1970
Ghana,29 Apr 1958,
Haiti,29 Apr 1958,29 Mar 1960
Iceland,29 Apr 1958,
Indonesia,8 May 1958,
Iran (Islamic Republic of),28 May 1958,
Ireland,2 Oct 1958,
Israel,29 Apr 1958,
Jamaica,,16 Apr 1964 d
Kenya,,20 Jun 1969 a
Lebanon,29 May 1958,
Lesotho,,23 Oct 1973 d
Liberia,27 May 1958,
Madagascar,,31 Jul 1962 a
Malawi,,3 Nov 1965 a
Malaysia,,21 Dec 1960 a
Mauritius,,5 Oct 1970 d
Mexico,,2 Aug 1966 a
Montenegro,,23 Oct 2006 d
Nepal,29 Apr 1958,
Netherlands,31 Oct 1958,18 Feb 1966
New Zealand,29 Oct 1958,
Nigeria,,26 Jun 1961 d
Pakistan,31 Oct 1958,
Panama,2 May 1958,
Portugal,28 Oct 1958,8 Jan 1963
Senegal,,25 Apr 1961 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Solomon Islands,,3 Sep 1981 d
South Africa,,9 Apr 1963 a
Spain,,25 Feb 1971 a
Sri Lanka,30 Oct 1958,
Switzerland,22 Oct 1958,18 May 1966
Thailand,29 Apr 1958,2 Jul 1968
Tonga,,29 Jun 1971 d
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,30 Oct 1958,
Uganda,,14 Sep 1964 a
United Kingdom of Great Britain and Northern Ireland,9 Sep 1958,14 Mar 1960
United States of America,15 Sep 1958,12 Apr 1961
Uruguay,29 Apr 1958,
Venezuela (Bolivarian Republic of),30 Oct 1958,10 Jul 1963
