Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,22 Oct 1985 a
Algeria,,19 Dec 1991 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,,20 Mar 1987 a
Armenia,,15 May 2002 a
Australia,31 May 1978,7 Sep 1984
Austria,,17 Jan 1990 a
Bangladesh,,3 Oct 1979 a
Belarus,18 May 1977,7 Jun 1978
Belgium,18 May 1977,12 Jul 1982
Benin,10 Jun 1977,30 Jun 1986
Bolivia (Plurinational State of),18 May 1977,
Brazil,9 Nov 1977,12 Oct 1984
Bulgaria,18 May 1977,31 May 1978
Cabo Verde,,3 Oct 1979 a
Cameroon,,18 Apr 2011 a
Canada,18 May 1977,11 Jun 1981
Chile,,26 Apr 1994 a
China,,8 Jun 2005 a
Costa Rica,,7 Feb 1996 a
Cuba,23 Sep 1977,10 Apr 1978
Cyprus,7 Oct 1977,12 Apr 1978
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,8 Nov 1984 a
Democratic Republic of the Congo,28 Feb 1978,
Denmark,18 May 1977,19 Apr 1978
Dominica,,9 Nov 1992 d
Egypt,,1 Apr 1982 a
Estonia,,14 Apr 2011 a
Ethiopia,18 May 1977,
Finland,18 May 1977,12 May 1978
Germany,18 May 1977,24 May 1983
Ghana,21 Mar 1978,22 Jun 1978
Greece,,23 Aug 1983 a
Guatemala,,21 Mar 1988 a
Holy See,27 May 1977,
Honduras,,16 Aug 2010 a
Hungary,18 May 1977,19 Apr 1978
Iceland,18 May 1977,
India,15 Dec 1977,15 Dec 1978
Iran (Islamic Republic of),18 May 1977,
Iraq,15 Aug 1977,
Ireland,18 May 1977,16 Dec 1982
Italy,18 May 1977,27 Nov 1981
Japan,,9 Jun 1982 a
Kazakhstan,,25 Apr 2005 a
Kuwait,,2 Jan 1980 a
Lao People's Democratic Republic,13 Apr 1978,5 Oct 1978
Lebanon,18 May 1977,
Liberia,18 May 1977,
Lithuania,,16 Apr 2002 a
Luxembourg,18 May 1977,
Malawi,,5 Oct 1978 a
Mauritius,,9 Dec 1992 a
Mongolia,18 May 1977,19 May 1978
Morocco,18 May 1977,
Netherlands,18 May 1977,15 Apr 1983
New Zealand,,7 Sep 1984 a
Nicaragua,11 Aug 1977,6 Sep 2007
Niger,,17 Feb 1993 a
Norway,18 May 1977,15 Feb 1979
Pakistan,,27 Feb 1986 a
Panama,,13 May 2003 a
Papua New Guinea,,28 Oct 1980 a
Poland,18 May 1977,8 Jun 1978
Portugal,18 May 1977,
Republic of Korea,,2 Dec 1986 a
Romania,18 May 1977,6 May 1983
Russian Federation,18 May 1977,30 May 1978
Sao Tome and Principe,,5 Oct 1979 a
Sierra Leone,12 Apr 1978,
Slovakia,,28 May 1993 d
Slovenia,,20 Apr 2005 a
Solomon Islands,,19 Jun 1981 d
Spain,18 May 1977,19 Jul 1978
Sri Lanka,8 Jun 1977,25 Apr 1978
St. Lucia,,27 May 1993 d
St. Vincent and the Grenadines,,27 Apr 1999 d
Sweden,,27 Apr 1984 a
Switzerland,,5 Aug 1988 a
Syrian Arab Republic,4 Aug 1977,
Tajikistan,,12 Oct 1999 a
Tunisia,11 May 1978,11 May 1978
Turkey,18 May 1977,
Uganda,18 May 1977,
Ukraine,18 May 1977,13 Jun 1978
United Kingdom of Great Britain and Northern Ireland,18 May 1977,16 May 1978
United States of America,18 May 1977,17 Jan 1980
Uruguay,,16 Sep 1993 a
Uzbekistan,,26 May 1993 a
Viet Nam,,26 Aug 1980 a
Yemen,18 May 1977,20 Jul 1977
