Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,20 Feb 2004,25 Aug 2008
Albania,18 Dec 2003,25 May 2006
Algeria,9 Dec 2003,25 Aug 2004
Angola,10 Dec 2003,29 Aug 2006
Antigua and Barbuda,,21 Jun 2006 a
Argentina,10 Dec 2003,28 Aug 2006
Armenia,19 May 2005,8 Mar 2007
Australia,9 Dec 2003,7 Dec 2005
Austria,10 Dec 2003,11 Jan 2006
Azerbaijan,27 Feb 2004,1 Nov 2005
Bahamas,,10 Jan 2008 a
Bahrain,8 Feb 2005,5 Oct 2010
Bangladesh,,27 Feb 2007 a
Barbados,10 Dec 2003,
Belarus,28 Apr 2004,17 Feb 2005
Belgium,10 Dec 2003,25 Sep 2008
Benin,10 Dec 2003,14 Oct 2004
Bhutan,15 Sep 2005,
Bolivia (Plurinational State of),9 Dec 2003,5 Dec 2005
Bosnia and Herzegovina,16 Sep 2005,26 Oct 2006
Botswana,,27 Jun 2011 a
Brazil,9 Dec 2003,15 Jun 2005
Brunei Darussalam,11 Dec 2003,2 Dec 2008
Bulgaria,10 Dec 2003,20 Sep 2006
Burkina Faso,10 Dec 2003,10 Oct 2006
Burundi,,10 Mar 2006 a
Cambodia,,5 Sep 2007 a
Cameroon,10 Dec 2003,6 Feb 2006
Canada,21 May 2004,2 Oct 2007
Cape Verde,9 Dec 2003,23 Apr 2008
Central African Republic,11 Feb 2004,6 Oct 2006
Chile,11 Dec 2003,13 Sep 2006
China,10 Dec 2003,13 Jan 2006
Colombia,10 Dec 2003,27 Oct 2006
Comoros,10 Dec 2003,11 Oct 2012
Congo,,13 Jul 2006 a
Cook Islands,,17 Oct 2011 a
Costa Rica,10 Dec 2003,21 Mar 2007
Côte d'Ivoire,10 Dec 2003,25 Oct 2012
Croatia,10 Dec 2003,24 Apr 2005
Cuba,9 Dec 2005,9 Feb 2007
Cyprus,9 Dec 2003,23 Feb 2009
Czech Republic,22 Apr 2005,
Democratic Republic of the Congo,,23 Sep 2010 a
Denmark,10 Dec 2003,26 Dec 2006
Djibouti,17 Jun 2004,20 Apr 2005
Dominica,,28 May 2010 a
Dominican Republic,10 Dec 2003,26 Oct 2006
Ecuador,10 Dec 2003,15 Sep 2005
Egypt,9 Dec 2003,25 Feb 2005
El Salvador,10 Dec 2003,1 Jul 2004
Estonia,,12 Apr 2010 a
Ethiopia,10 Dec 2003,26 Nov 2007
European Union,15 Sep 2005,12 Nov 2008 AA
Fiji,,14 May 2008 a
Finland,9 Dec 2003,20 Jun 2006 A
France,9 Dec 2003,11 Jul 2005
Gabon,10 Dec 2003,1 Oct 2007
Georgia,,4 Nov 2008 a
Germany,9 Dec 2003,
Ghana,9 Dec 2004,27 Jun 2007
Greece,10 Dec 2003,17 Sep 2008
