Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,,17 Jun 2004 a
Albania,,8 Oct 1999 a
Algeria,,20 Oct 1992 a
Andorra,,26 Jan 2009 a
Angola,,17 May 2000 a
Antigua and Barbuda,,3 Dec 1992 a
Argentina,22 Mar 1985,18 Jan 1990
Armenia,,1 Oct 1999 a
Australia,,16 Sep 1987 a
Austria,16 Sep 1985,19 Aug 1987
Azerbaijan,,12 Jun 1996 a
Bahamas,,1 Apr 1993 a
Bahrain,,27 Apr 1990 a
Bangladesh,,2 Aug 1990 a
Barbados,,16 Oct 1992 a
Belarus,22 Mar 1985,20 Jun 1986 A
Belgium,22 Mar 1985,17 Oct 1988
Belize,,6 Jun 1997 a
Benin,,1 Jul 1993 a
Bhutan,,23 Aug 2004 a
Bolivia (Plurinational State of),,3 Oct 1994 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,4 Dec 1991 a
Brazil,,19 Mar 1990 a
Brunei Darussalam,,26 Jul 1990 a
Bulgaria,,20 Nov 1990 a
Burkina Faso,12 Dec 1985,30 Mar 1989
Burundi,,6 Jan 1997 a
Cabo Verde,,31 Jul 2001 a
Cambodia,,27 Jun 2001 a
Cameroon,,30 Aug 1989 a
Canada,22 Mar 1985,4 Jun 1986
Central African Republic,,29 Mar 1993 a
Chad,,18 May 1989 a
Chile,22 Mar 1985,6 Mar 1990
China,,11 Sep 1989 a
Colombia,,16 Jul 1990 a
Comoros,,31 Oct 1994 a
Congo,,16 Nov 1994 a
Cook Islands,,22 Dec 2003 a
Costa Rica,,30 Jul 1991 a
Côte d'Ivoire,,5 Apr 1993 a
Croatia,,21 Sep 1992 d
Cuba,,14 Jul 1992 a
Cyprus,,28 May 1992 a
Czech Republic,,30 Sep 1993 d
Democratic People's Republic of Korea,,24 Jan 1995 a
Democratic Republic of the Congo,,30 Nov 1994 a
Denmark,22 Mar 1985,29 Sep 1988
Djibouti,,30 Jul 1999 a
Dominica,,31 Mar 1993 a
Dominican Republic,,18 May 1993 a
Ecuador,,10 Apr 1990 a
Egypt,22 Mar 1985,9 May 1988
El Salvador,,2 Oct 1992 a
Equatorial Guinea,,17 Aug 1988 a
Eritrea,,10 Mar 2005 a
Estonia,,17 Oct 1996 a
Ethiopia,,11 Oct 1994 a
European Union,22 Mar 1985,17 Oct 1988 AA
Fiji,,23 Oct 1989 a
Finland,22 Mar 1985,26 Sep 1986
France,22 Mar 1985,4 Dec 1987 AA
Gabon,,9 Feb 1994 a
Gambia,,25 Jul 1990 a
Georgia,,21 Mar 1996 a
Germany,22 Mar 1985,30 Sep 1988
Ghana,,24 Jul 1989 a
Greece,22 Mar 1985,29 Dec 1988
Grenada,,31 Mar 1993 a
Guatemala,,11 Sep 1987 a
Guinea,,25 Jun 1992 a
Guinea-Bissau,,12 Nov 2002 a
Guyana,,12 Aug 1993 a
Haiti,,29 Mar 2000 a
Holy See,,5 May 2008 a
Honduras,,14 Oct 1993 a
Hungary,,4 May 1988 a
Iceland,,29 Aug 1989 a
India,,18 Mar 1991 a
Indonesia,,26 Jun 1992 a
Iran (Islamic Republic of),,3 Oct 1990 a
Iraq,,25 Jun 2008 a
Ireland,,15 Sep 1988 a
Israel,,30 Jun 1992 a
Italy,22 Mar 1985,19 Sep 1988
Jamaica,,31 Mar 1993 a
Japan,,30 Sep 1988 a
Jordan,,31 May 1989 a
Kazakhstan,,26 Aug 1998 a
Kenya,,9 Nov 1988 a
Kiribati,,7 Jan 1993 a
Kuwait,,23 Nov 1992 a
Kyrgyzstan,,31 May 2000 a
Lao People's Democratic Republic,,21 Aug 1998 a
Latvia,,28 Apr 1995 a
Lebanon,,30 Mar 1993 a
Lesotho,,25 Mar 1994 a
Liberia,,15 Jan 1996 a
Libya,,11 Jul 1990 a
Liechtenstein,,8 Feb 1989 a
Lithuania,,18 Jan 1995 a
Luxembourg,17 Apr 1985,17 Oct 1988
Madagascar,,7 Nov 1996 a
Malawi,,9 Jan 1991 a
Malaysia,,29 Aug 1989 a
Maldives,,26 Apr 1988 a
Mali,,28 Oct 1994 a
Malta,,15 Sep 1988 a
Marshall Islands,,11 Mar 1993 a
Mauritania,,26 May 1994 a
Mauritius,,18 Aug 1992 a
Mexico,1 Apr 1985,14 Sep 1987
Micronesia (Federated States of),,3 Aug 1994 a
Monaco,,12 Mar 1993 a
Mongolia,,7 Mar 1996 a
Montenegro,,23 Oct 2006 d
Morocco,7 Feb 1986,28 Dec 1995
Mozambique,,9 Sep 1994 a
Myanmar,,24 Nov 1993 a
Namibia,,20 Sep 1993 a
Nauru,,12 Nov 2001 a
Nepal,,6 Jul 1994 a
Netherlands,22 Mar 1985,28 Sep 1988 A
New Zealand,21 Mar 1986,2 Jun 1987
Nicaragua,,5 Mar 1993 a
Niger,,9 Oct 1992 a
Nigeria,,31 Oct 1988 a
Niue,,22 Dec 2003 a
Norway,22 Mar 1985,23 Sep 1986
Oman,,30 Jun 1999 a
Pakistan,,18 Dec 1992 a
Palau,,29 May 2001 a
Panama,,13 Feb 1989 a
Papua New Guinea,,27 Oct 1992 a
Paraguay,,3 Dec 1992 a
Peru,22 Mar 1985,7 Apr 1989
Philippines,,17 Jul 1991 a
Poland,,13 Jul 1990 a
Portugal,,17 Oct 1988 a
Qatar,,22 Jan 1996 a
Republic of Korea,,27 Feb 1992 a
Republic of Moldova,,24 Oct 1996 a
Romania,,27 Jan 1993 a
Russian Federation,22 Mar 1985,18 Jun 1986 A
Rwanda,,11 Oct 2001 a
Samoa,,21 Dec 1992 a
San Marino,,23 Apr 2009 a
Sao Tome and Principe,,19 Nov 2001 a
Saudi Arabia,,1 Mar 1993 a
Senegal,,19 Mar 1993 a
Serbia,,12 Mar 2001 d
Seychelles,,6 Jan 1993 a
Sierra Leone,,29 Aug 2001 a
Singapore,,5 Jan 1989 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,17 Jun 1993 a
Somalia,,1 Aug 2001 a
South Africa,,15 Jan 1990 a
South Sudan,,12 Jan 2012 a
Spain,,25 Jul 1988 a
Sri Lanka,,15 Dec 1989 a
St. Kitts and Nevis,,10 Aug 1992 a
St. Lucia,,28 Jul 1993 a
St. Vincent and the Grenadines,,2 Dec 1996 a
Sudan,,29 Jan 1993 a
Suriname,,14 Oct 1997 a
Swaziland,,10 Nov 1992 a
Sweden,22 Mar 1985,26 Nov 1986
Switzerland,22 Mar 1985,17 Dec 1987
Syrian Arab Republic,,12 Dec 1989 a
Tajikistan,,6 May 1996 a
Thailand,,7 Jul 1989 a
The former Yugoslav Republic of Macedonia,,10 Mar 1994 d
Timor-Leste,,16 Sep 2009 a
Togo,,25 Feb 1991 a
Tonga,,29 Jul 1998 a
Trinidad and Tobago,,28 Aug 1989 a
Tunisia,,25 Sep 1989 a
Turkey,,20 Sep 1991 a
Turkmenistan,,18 Nov 1993 a
Tuvalu,,15 Jul 1993 a
Uganda,,24 Jun 1988 a
Ukraine,22 Mar 1985,18 Jun 1986 A
United Arab Emirates,,22 Dec 1989 a
United Kingdom of Great Britain and Northern Ireland,20 May 1985,15 May 1987
United Republic of Tanzania,,7 Apr 1993 a
United States of America,22 Mar 1985,27 Aug 1986
Uruguay,,27 Feb 1989 a
Uzbekistan,,18 May 1993 a
Vanuatu,,21 Nov 1994 a
Venezuela (Bolivarian Republic of),,1 Sep 1988 a
Viet Nam,,26 Jan 1994 a
Yemen,,21 Feb 1996 a
Zambia,,24 Jan 1990 a
Zimbabwe,,3 Nov 1992 a
