Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,,24 Jan 1983 a
Albania,,4 Oct 1991 a
Algeria,10 Dec 1968,12 Sep 1989
Andorra,5 Aug 2002,22 Sep 2006
Angola,,10 Jan 1992 a
Argentina,19 Feb 1968,8 Aug 1986
Armenia,,23 Jun 1993 a
Australia,18 Dec 1972,13 Aug 1980
Austria,10 Dec 1973,10 Sep 1978
Azerbaijan,,13 Aug 1992 a
Bahamas,4 Dec 2008,23 Dec 2008
Bahrain,,20 Sep 2006 a
Bangladesh,,6 Sep 2000 a
Barbados,,5 Jan 1973 a
Belarus,19 Mar 1968,12 Nov 1973
Belgium,10 Dec 1968,21 Apr 1983
Belize,,10 Jun 1996 a
Benin,,12 Mar 1992 a
Bolivia (Plurinational State of),,12 Aug 1982 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,8 Sep 2000,8 Sep 2000
Brazil,,24 Jan 1992 a
Bulgaria,8 Oct 1968,21 Sep 1970
Burkina Faso,,4 Jan 1999 a
Burundi,,9 May 1990 a
Cabo Verde,,6 Aug 1993 a
Cambodia,17 Oct 1980,26 May 1992 a
Cameroon,,27 Jun 1984 a
Canada,,19 May 1976 a
Central African Republic,,8 May 1981 a
Chad,,9 Jun 1995 a
Chile,16 Sep 1969,10 Feb 1972
China,5 Oct 1998,
Colombia,21 Dec 1966,29 Oct 1969
Comoros,25 Sep 2008,
Congo,,5 Oct 1983 a
Costa Rica,19 Dec 1966,29 Nov 1968
Côte d'Ivoire,,26 Mar 1992 a
Croatia,,12 Oct 1992 d
Cuba,28 Feb 2008,
Cyprus,19 Dec 1966,2 Apr 1969
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,14 Sep 1981 a
Democratic Republic of the Congo,,1 Nov 1976 a
Denmark,20 Mar 1968,6 Jan 1972
Djibouti,,5 Nov 2002 a
Dominica,,17 Jun 1993 a
Dominican Republic,,4 Jan 1978 a
Ecuador,4 Apr 1968,6 Mar 1969
Egypt,4 Aug 1967,14 Jan 1982
El Salvador,21 Sep 1967,30 Nov 1979
Equatorial Guinea,,25 Sep 1987 a
Eritrea,,22 Jan 2002 a
Estonia,,21 Oct 1991 a
Ethiopia,,11 Jun 1993 a
Finland,11 Oct 1967,19 Aug 1975
France,,4 Nov 1980 a
Gabon,,21 Jan 1983 a
Gambia,,22 Mar 1979 a
Georgia,,3 May 1994 a
Germany,9 Oct 1968,17 Dec 1973
Ghana,7 Sep 2000,7 Sep 2000
Greece,,5 May 1997 a
Grenada,,6 Sep 1991 a
Guatemala,,5 May 1992 a
Guinea,28 Feb 1967,24 Jan 1978
Guinea-Bissau,12 Sep 2000,1 Nov 2010
Guyana,22 Aug 1968,15 Feb 1977
Haiti,,6 Feb 1991 a
Honduras,19 Dec 1966,25 Aug 1997
Hungary,25 Mar 1969,17 Jan 1974
Iceland,30 Dec 1968,22 Aug 1979
India,,10 Apr 1979 a
Indonesia,,23 Feb 2006 a
Iran (Islamic Republic of),4 Apr 1968,24 Jun 1975
Iraq,18 Feb 1969,25 Jan 1971
Ireland,1 Oct 1973,8 Dec 1989
Israel,19 Dec 1966,3 Oct 1991
Italy,18 Jan 1967,15 Sep 1978
Jamaica,19 Dec 1966,3 Oct 1975
Japan,30 May 1978,21 Jun 1979
Jordan,30 Jun 1972,28 May 1975
Kazakhstan,2 Dec 2003,24 Jan 2006
Kenya,,1 May 1972 a
Kuwait,,21 May 1996 a
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,7 Dec 2000,25 Sep 2009
Latvia,,14 Apr 1992 a
Lebanon,,3 Nov 1972 a
Lesotho,,9 Sep 1992 a
Liberia,18 Apr 1967,22 Sep 2004
Libya,,15 May 1970 a
Liechtenstein,,10 Dec 1998 a
Lithuania,,20 Nov 1991 a
Luxembourg,26 Nov 1974,18 Aug 1983
Madagascar,17 Sep 1969,21 Jun 1971
Malawi,,22 Dec 1993 a
Maldives,,19 Sep 2006 a
Mali,,16 Jul 1974 a
Malta,,13 Sep 1990 a
Mauritania,,17 Nov 2004 a
Mauritius,,12 Dec 1973 a
Mexico,,23 Mar 1981 a
Monaco,26 Jun 1997,28 Aug 1997
Mongolia,5 Jun 1968,18 Nov 1974
Montenegro,,23 Oct 2006 d
Morocco,19 Jan 1977,3 May 1979
Mozambique,,21 Jul 1993 a
Namibia,,28 Nov 1994 a
Nauru,12 Nov 2001,
Nepal,,14 May 1991 a
Netherlands,25 Jun 1969,11 Dec 1978
New Zealand,12 Nov 1968,28 Dec 1978
Nicaragua,,12 Mar 1980 a
Niger,,7 Mar 1986 a
Nigeria,,29 Jul 1993 a
Norway,20 Mar 1968,13 Sep 1972
Pakistan,17 Apr 2008,23 Jun 2010
Palau,20 Sep 2011,
Panama,27 Jul 1976,8 Mar 1977
Papua New Guinea,,21 Jul 2008 a
Paraguay,,10 Jun 1992 a
Peru,11 Aug 1977,28 Apr 1978
Philippines,19 Dec 1966,23 Oct 1986
Poland,2 Mar 1967,18 Mar 1977
Portugal,7 Oct 1976,15 Jun 1978
Republic of Korea,,10 Apr 1990 a
Republic of Moldova,,26 Jan 1993 a
Romania,27 Jun 1968,9 Dec 1974
Russian Federation,18 Mar 1968,16 Oct 1973
Rwanda,,16 Apr 1975 a
Samoa,,15 Feb 2008 a
San Marino,,18 Oct 1985 a
Sao Tome and Principe,31 Oct 1995,
Senegal,6 Jul 1970,13 Feb 1978
Serbia,,12 Mar 2001 d
Seychelles,,5 May 1992 a
Sierra Leone,,23 Aug 1996 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Somalia,,24 Jan 1990 a
South Africa,3 Oct 1994,10 Dec 1998
Spain,28 Sep 1976,27 Apr 1977
Sri Lanka,,11 Jun 1980 a
St. Lucia,22 Sep 2011,
St. Vincent and the Grenadines,,9 Nov 1981 a
State of Palestine,,2 Apr 2014 a
Sudan,,18 Mar 1986 a
Suriname,,28 Dec 1976 a
Swaziland,,26 Mar 2004 a
Sweden,29 Sep 1967,6 Dec 1971
Switzerland,,18 Jun 1992 a
Syrian Arab Republic,,21 Apr 1969 a
Tajikistan,,4 Jan 1999 a
Thailand,,29 Oct 1996 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Timor-Leste,,18 Sep 2003 a
Togo,,24 May 1984 a
Trinidad and Tobago,,21 Dec 1978 a
Tunisia,30 Apr 1968,18 Mar 1969
Turkey,15 Aug 2000,23 Sep 2003
Turkmenistan,,1 May 1997 a
