Participant,Signature,"Accession(a), Succession(d), Ratification"
Albania,,9 Jul 2003 a
Armenia,,18 May 1994 a
Australia,,13 Dec 1973 a
Austria,,22 Sep 1972 a
Azerbaijan,,16 Aug 1996 a
Benin,,8 Dec 2011 a
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,13 Dec 1996 a
Brazil,,25 Oct 2007 a
Bulgaria,,22 Mar 2012 a
Canada,,17 Jul 1978 a
Chad,,12 Aug 1999 a
Costa Rica,,2 Nov 1977 a
Côte d'Ivoire,,3 Oct 2013 a
Croatia,,22 Sep 2011 a
Czech Republic,,19 Dec 2001 a
Denmark,,11 Jul 1977 a
Dominican Republic,5 Dec 1961,
Ecuador,,24 Sep 2012 a
Finland,,7 Aug 2008 a
France,31 May 1962,
Germany,,31 Aug 1977 a
Guatemala,,19 Jul 2001 a
Honduras,,18 Dec 2012 a
Hungary,,12 May 2009 a
Ireland,,18 Jan 1973 a
Israel,30 Aug 1961,
Jamaica,,9 Jan 2013 a
Kiribati,,29 Nov 1983 d
Latvia,,14 Apr 1992 a
Lesotho,,24 Sep 2004 a
Liberia,,22 Sep 2004 a
Libya,,16 May 1989 a
Liechtenstein,,25 Sep 2009 a
Lithuania,,22 Jul 2013 a
Montenegro,,5 Dec 2013 a
Netherlands,30 Aug 1961,13 May 1985
New Zealand,,20 Sep 2006 a
Nicaragua,,29 Jul 2013 a
Niger,,17 Jun 1985 a
Nigeria,,20 Sep 2011 a
Norway,,11 Aug 1971 a
Panama,,2 Jun 2011 a
Paraguay,,6 Jun 2012 a
Portugal,,1 Oct 2012 a
Republic of Moldova,,19 Apr 2012 a
Romania,,27 Jan 2006 a
Rwanda,,4 Oct 2006 a
Senegal,,21 Sep 2005 a
Serbia,,7 Dec 2011 a
Slovakia,,3 Apr 2000 a
Swaziland,,16 Nov 1999 a
Sweden,,19 Feb 1969 a
Tunisia,,12 May 2000 a
Turkmenistan,,29 Aug 2012 a
Ukraine,,25 Mar 2013 a
United Kingdom of Great Britain and Northern Ireland,30 Aug 1961,29 Mar 1966
Uruguay,,21 Sep 2001 a
