Participant,Signature,"Accession(a), Succession(d), Ratification"
Australia,,26 Jan 1968 a
Austria,18 Apr 1961,28 Apr 1966
Bahamas,,17 Mar 1977 a
Belgium,23 Oct 1961,2 May 1968
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,11 Apr 1969 a
Bulgaria,,6 Jun 1989 a
Cambodia,,31 Aug 1965 a
Central African Republic,28 Mar 1962,19 Mar 1973
Colombia,18 Apr 1961,
Costa Rica,,9 Nov 1964 a
Democratic Republic of the Congo,,19 Jul 1965 a
Denmark,18 Apr 1961,2 Oct 1968
Dominica,,24 Mar 2006 a
Dominican Republic,30 Mar 1962,13 Feb 1964
Ecuador,18 Apr 1961,21 Sep 1964
Equatorial Guinea,,4 Nov 2014 a
Estonia,,21 Oct 1991 a
Fiji,,21 Jun 1971 d
Finland,20 Oct 1961,9 Dec 1969
France,30 Mar 1962,31 Dec 1970
Gabon,,2 Apr 1964 a
Germany,18 Apr 1961,11 Nov 1964
Ghana,18 Apr 1961,
Guinea,,10 Jan 1968 a
Hungary,,8 Dec 1989 a
Iceland,,18 May 1971 a
India,,15 Oct 1965 a
Iran (Islamic Republic of),27 May 1961,3 Feb 1965
Iraq,20 Feb 1962,15 Oct 1963
Ireland,18 Apr 1961,
Israel,18 Apr 1961,
Italy,13 Mar 1962,25 Jun 1969
Japan,26 Mar 1962,8 Jun 1964
Kenya,,1 Jul 1965 a
Kuwait,,21 Feb 1991 a
Lao People's Democratic Republic,,3 Dec 1962 a
Lebanon,18 Apr 1961,
Liberia,,16 Sep 2005 a
Liechtenstein,18 Apr 1961,8 May 1964
Lithuania,,26 Sep 2012 a
Luxembourg,2 Feb 1962,17 Aug 1966
Madagascar,,31 Jul 1963 a
Malawi,,29 Apr 1980 a
Malaysia,,9 Nov 1965 a
Malta,,7 Mar 1967 d
Mauritius,,18 Jul 1969 d
Montenegro,,23 Oct 2006 d
Nauru,,14 Dec 2012 a
Nepal,,28 Sep 1965 a
Netherlands,,7 Sep 1984 a
New Zealand,28 Mar 1962,23 Sep 1970
Nicaragua,,9 Jan 1990 a
Niger,,26 Apr 1966 a
Norway,18 Apr 1961,24 Oct 1967
Oman,,31 May 1974 a
Pakistan,,29 Mar 1976 a
Panama,,4 Dec 1963 a
Paraguay,,23 Dec 1969 a
Philippines,20 Oct 1961,15 Nov 1965
Republic of Korea,30 Mar 1962,25 Jan 1977
Romania,,19 Sep 2007 a
Serbia,,12 Mar 2001 d
Seychelles,,29 May 1979 a
Slovakia,,27 Apr 1999 a
Slovenia,,6 Jul 1992 d
Spain,,21 Sep 2011 a
Sri Lanka,,31 Jul 1978 a
Suriname,,28 Oct 1992 a
Sweden,18 Apr 1961,21 Mar 1967
Switzerland,18 Apr 1961,22 Nov 1963
The former Yugoslav Republic of Macedonia,,18 Aug 1993 d
United Kingdom of Great Britain and Northern Ireland,11 Dec 1961,1 Sep 1964
United Republic of Tanzania,27 Feb 1962,5 Nov 1962
United States of America,29 Jun 1961,13 Nov 1972
