Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,,22 Mar 1956 a
Albania,,12 May 1955 a
Algeria,,31 Oct 1963 a
Andorra,,22 Sep 2006 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,,5 Jun 1956 a
Armenia,,23 Jun 1993 a
Australia,11 Dec 1948,8 Jul 1949
Austria,,19 Mar 1958 a
Azerbaijan,,16 Aug 1996 a
Bahamas,,5 Aug 1975 d
Bahrain,,27 Mar 1990 a
Bangladesh,,5 Oct 1998 a
Barbados,,14 Jan 1980 a
Belarus,16 Dec 1949,11 Aug 1954
Belgium,12 Dec 1949,5 Sep 1951
Belize,,10 Mar 1998 a
Bolivia (Plurinational State of),11 Dec 1948,14 Jun 2005
Bosnia and Herzegovina,,29 Dec 1992 d
Brazil,11 Dec 1948,15 Apr 1952
Bulgaria,,21 Jul 1950 a
Burkina Faso,,14 Sep 1965 a
Burundi,,6 Jan 1997 a
Cambodia,,14 Oct 1950 a
Canada,28 Nov 1949,3 Sep 1952
Cape Verde,,10 Oct 2011 a
Chile,11 Dec 1948,3 Jun 1953
China,20 Jul 1949,18 Apr 1983
Colombia,12 Aug 1949,27 Oct 1959
Comoros,,27 Sep 2004 a
Costa Rica,,14 Oct 1950 a
Côte d'Ivoire,,18 Dec 1995 a
Croatia,,12 Oct 1992 d
Cuba,28 Dec 1949,4 Mar 1953
Cyprus,,29 Mar 1982 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,31 Jan 1989 a
Democratic Republic of the Congo,,31 May 1962 d
Denmark,28 Sep 1949,15 Jun 1951
Dominican Republic,11 Dec 1948,
Ecuador,11 Dec 1948,21 Dec 1949
Egypt,12 Dec 1948,8 Feb 1952
El Salvador,27 Apr 1949,28 Sep 1950
Estonia,,21 Oct 1991 a
Ethiopia,11 Dec 1948,1 Jul 1949
Fiji,,11 Jan 1973 d
Finland,,18 Dec 1959 a
France,11 Dec 1948,14 Oct 1950
Gabon,,21 Jan 1983 a
Gambia,,29 Dec 1978 a
Georgia,,11 Oct 1993 a
Germany,,24 Nov 1954 a
Ghana,,24 Dec 1958 a
Greece,29 Dec 1949,8 Dec 1954
Guatemala,22 Jun 1949,13 Jan 1950
Guinea,,7 Sep 2000 a
Guinea-Bissau,,24 Sep 2013 a
Haiti,11 Dec 1948,14 Oct 1950
Honduras,22 Apr 1949,5 Mar 1952
Hungary,,7 Jan 1952 a
Iceland,14 May 1949,29 Aug 1949
India,29 Nov 1949,27 Aug 1959
Iran (Islamic Republic of),8 Dec 1949,14 Aug 1956
Iraq,,20 Jan 1959 a
Ireland,,22 Jun 1976 a
Israel,17 Aug 1949,9 Mar 1950
Italy,,4 Jun 1952 a
Jamaica,,23 Sep 1968 a
Jordan,,3 Apr 1950 a
Kazakhstan,,26 Aug 1998 a
Kuwait,,7 Mar 1995 a
Kyrgyzstan,,5 Sep 1997 a
Lao People's Democratic Republic,,8 Dec 1950 a
Latvia,,14 Apr 1992 a
Lebanon,30 Dec 1949,17 Dec 1953
Lesotho,,29 Nov 1974 a
Liberia,11 Dec 1948,9 Jun 1950
Libya,,16 May 1989 a
Liechtenstein,,24 Mar 1994 a
Lithuania,,1 Feb 1996 a
Luxembourg,,7 Oct 1981 a
Malaysia,,20 Dec 1994 a
Maldives,,24 Apr 1984 a
Mali,,16 Jul 1974 a
Mexico,14 Dec 1948,22 Jul 1952
Monaco,,30 Mar 1950 a
Mongolia,,5 Jan 1967 a
Montenegro,,23 Oct 2006 d
Morocco,,24 Jan 1958 a
Mozambique,,18 Apr 1983 a
Myanmar,30 Dec 1949,14 Mar 1956
Namibia,,28 Nov 1994 a
Nepal,,17 Jan 1969 a
Netherlands,,20 Jun 1966 a
New Zealand,25 Nov 1949,28 Dec 1978
Nicaragua,,29 Jan 1952 a
Nigeria,,27 Jul 2009 a
Norway,11 Dec 1948,22 Jul 1949
Pakistan,11 Dec 1948,12 Oct 1957
Panama,11 Dec 1948,11 Jan 1950
Papua New Guinea,,27 Jan 1982 a
Paraguay,11 Dec 1948,3 Oct 2001
Peru,11 Dec 1948,24 Feb 1960
Philippines,11 Dec 1948,7 Jul 1950
Poland,,14 Nov 1950 a
Portugal,,9 Feb 1999 a
Republic of Korea,,14 Oct 1950 a
Republic of Moldova,,26 Jan 1993 a
Romania,,2 Nov 1950 a
Russian Federation,16 Dec 1949,3 May 1954
Rwanda,,16 Apr 1975 a
Saudi Arabia,,13 Jul 1950 a
Senegal,,4 Aug 1983 a
Serbia,,12 Mar 2001 a
Seychelles,,5 May 1992 a
Singapore,,18 Aug 1995 a
