Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Austria,17 Jan 2005,14 Sep 2006
Belgium,22 Apr 2005,
China,14 Sep 2005,
Czech Republic,13 Oct 2006,
Denmark,19 Sep 2006,
Estonia,30 Mar 2006,
Finland,14 Sep 2005,
France,17 Jan 2007,12 Aug 2011 AA
Iceland,16 Sep 2005,
India,12 Jan 2007,
Iran (Islamic Republic of),17 Jan 2007,29 Sep 2008
Italy,,6 May 2013 a
Japan,11 Jan 2007,11 May 2010 A
Kazakhstan,,17 Feb 2010 a
Latvia,,14 Feb 2014 a
Lebanon,11 Nov 2005,21 Nov 2008
Madagascar,15 Sep 2005,
Mexico,25 Sep 2006,
Morocco,17 Jan 2005,
Norway,8 Jul 2005,27 Mar 2006
Paraguay,16 Sep 2005,
Portugal,25 Feb 2005,14 Sep 2006
Romania,14 Sep 2005,15 Feb 2007
Russian Federation,1 Dec 2006,
Saudi Arabia,,1 Sep 2010 a
Senegal,21 Sep 2005,
Sierra Leone,21 Sep 2006,
Slovakia,15 Sep 2005,
Spain,,21 Sep 2011 a
Sweden,14 Sep 2005,23 Dec 2009
Switzerland,19 Sep 2006,16 Apr 2010
Timor-Leste,16 Sep 2005,
United Kingdom of Great Britain and Northern Ireland,30 Sep 2005,
