Participant,Signature,"Ratification, Accession(a), Succession(d)"
Albania,,17 Oct 2007 a
Andorra,5 Aug 2002,22 Sep 2006
Argentina,20 Dec 2006,2 Sep 2008
Australia,,2 Oct 1990 a
Austria,8 Apr 1991,2 Mar 1993
Azerbaijan,,22 Jan 1999 a
Belgium,12 Jul 1990,8 Dec 1998
Benin,,5 Jul 2012 a
Bolivia (Plurinational State of),,12 Jul 2013 a
Bosnia and Herzegovina,7 Sep 2000,16 Mar 2001
Brazil,,25 Sep 2009 a
Bulgaria,11 Mar 1999,10 Aug 1999
Canada,,25 Nov 2005 a
Cape Verde,,19 May 2000 a
Chile,15 Nov 2001,26 Sep 2008
Colombia,,5 Aug 1997 a
Costa Rica,14 Feb 1990,5 Jun 1998
Croatia,,12 Oct 1995 a
Cyprus,,10 Sep 1999 a
Czech Republic,,15 Jun 2004 a
Denmark,13 Feb 1990,24 Feb 1994
Djibouti,,5 Nov 2002 a
Ecuador,,23 Feb 1993 a
Estonia,,30 Jan 2004 a
Finland,13 Feb 1990,4 Apr 1991
France,,2 Oct 2007 a
Georgia,,22 Mar 1999 a
Germany,13 Feb 1990,18 Aug 1992
Greece,,5 May 1997 a
Guinea-Bissau,12 Sep 2000,
Honduras,10 May 1990,1 Apr 2008
Hungary,,24 Feb 1994 a
Iceland,30 Jan 1991,2 Apr 1991
Ireland,,18 Jun 1993 a
Italy,13 Feb 1990,14 Feb 1995
Kyrgyzstan,,6 Dec 2010 a
Latvia,,19 Apr 2013 a
Liberia,,16 Sep 2005 a
Liechtenstein,,10 Dec 1998 a
Lithuania,8 Sep 2000,27 Mar 2002
Luxembourg,13 Feb 1990,12 Feb 1992
Madagascar,24 Sep 2012,
Malta,,29 Dec 1994 a
Mexico,,26 Sep 2007 a
Monaco,,28 Mar 2000 a
Mongolia,,13 Mar 2012 a
Montenegro,,23 Oct 2006 d
Mozambique,,21 Jul 1993 a
Namibia,,28 Nov 1994 a
Nepal,,4 Mar 1998 a
Netherlands,9 Aug 1990,26 Mar 1991
New Zealand,22 Feb 1990,22 Feb 1990
Nicaragua,21 Feb 1990,25 Feb 2009
Norway,13 Feb 1990,5 Sep 1991
Panama,,21 Jan 1993 a
Paraguay,,18 Aug 2003 a
Philippines,20 Sep 2006,20 Nov 2007
Poland,21 Mar 2000,
Portugal,13 Feb 1990,17 Oct 1990
Republic of Moldova,,20 Sep 2006 a
Romania,15 Mar 1990,27 Feb 1991
Rwanda,,15 Dec 2008 a
San Marino,26 Sep 2003,17 Aug 2004
Sao Tome and Principe,6 Sep 2000,
Serbia,,6 Sep 2001 a
Seychelles,,15 Dec 1994 a
Slovakia,22 Sep 1998,22 Jun 1999
Slovenia,14 Sep 1993,10 Mar 1994
South Africa,,28 Aug 2002 a
Spain,23 Feb 1990,11 Apr 1991
Sweden,13 Feb 1990,11 May 1990
Switzerland,,16 Jun 1994 a
The former Yugoslav Republic of Macedonia,,26 Jan 1995 a
Timor-Leste,,18 Sep 2003 a
Turkey,6 Apr 2004,2 Mar 2006
Turkmenistan,,11 Jan 2000 a
Ukraine,,25 Jul 2007 a
United Kingdom of Great Britain and Northern Ireland,31 Mar 1999,10 Dec 1999
Uruguay,13 Feb 1990,21 Jan 1993
Uzbekistan,,23 Dec 2008 a
Venezuela (Bolivarian Republic of),7 Jun 1990,22 Feb 1993
