Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,22 Jul 1983 a
Albania,,19 May 1971 a
Argentina,,26 Aug 2003 a
Armenia,,23 Jun 1993 a
Azerbaijan,,16 Aug 1996 a
Belarus,7 Jan 1969,8 May 1969
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,21 Jan 1969,21 May 1969
Cameroon,,6 Oct 1972 a
Costa Rica,,27 Apr 2009 a
Croatia,,12 Oct 1992 d
Cuba,,13 Sep 1972 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,8 Nov 1984 a
Estonia,,21 Oct 1991 a
Gambia,,29 Dec 1978 a
Georgia,,31 Mar 1995 a
Ghana,,7 Sep 2000 a
Guinea,,7 Jun 1971 a
Honduras,,16 Aug 2010 a
Hungary,25 Mar 1969,24 Jun 1969
India,,12 Jan 1971 a
Kenya,,1 May 1972 a
Kuwait,,7 Mar 1995 a
Lao People's Democratic Republic,,28 Dec 1984 a
Latvia,,14 Apr 1992 a
Liberia,,16 Sep 2005 a
Libya,,16 May 1989 a
Lithuania,,1 Feb 1996 a
Mexico,3 Jul 1969,15 Mar 2002
Mongolia,31 Jan 1969,21 May 1969
Montenegro,,23 Oct 2006 d
Nicaragua,,3 Sep 1986 a
Nigeria,,1 Dec 1970 a
Panama,,21 Jun 2007 a
Paraguay,,23 Sep 2008 a
Peru,,11 Aug 2003 a
Philippines,,15 May 1973 a
Poland,16 Dec 1968,14 Feb 1969
Republic of Moldova,,26 Jan 1993 a
Romania,17 Apr 1969,15 Sep 1969
Russian Federation,6 Jan 1969,22 Apr 1969
Rwanda,,16 Apr 1975 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
St. Vincent and the Grenadines,,9 Nov 1981 a
State of Palestine,,2 Jan 2015 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Tunisia,,15 Jun 1972 a
Ukraine,14 Jan 1969,19 Jun 1969
Uruguay,,21 Sep 2001 a
Viet Nam,,6 May 1983 a
Yemen,,9 Feb 1987 a
