Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Succession(d)"
Albania,,5 Jun 2007 a
Algeria,,21 Apr 2005 a
Argentina,10 Aug 2004,23 Feb 2007
Armenia,26 Sep 2013,
Azerbaijan,,11 Jan 1999 a
Bangladesh,7 Oct 1998,24 Aug 2011
Belize,,14 Nov 2001 a
Benin,15 Sep 2005,
Bolivia (Plurinational State of),,16 Oct 2000 a
Bosnia and Herzegovina,,13 Dec 1996 a
Burkina Faso,16 Nov 2001,26 Nov 2003
Cabo Verde,,16 Sep 1997 a
Cambodia,27 Sep 2004,
Cameroon,15 Dec 2009,
Chad,26 Sep 2012,
Chile,24 Sep 1993,21 Mar 2005
Colombia,,24 May 1995 a
Comoros,22 Sep 2000,
Congo,29 Sep 2008,
Ecuador,,5 Feb 2002 a
Egypt,,19 Feb 1993 a
El Salvador,13 Sep 2002,14 Mar 2003
Gabon,15 Dec 2004,
Ghana,7 Sep 2000,7 Sep 2000
Guatemala,7 Sep 2000,14 Mar 2003
Guinea,,7 Sep 2000 a
Guinea-Bissau,12 Sep 2000,
Guyana,15 Sep 2005,7 Jul 2010
Haiti,5 Dec 2013,
Honduras,,9 Aug 2005 a
Indonesia,22 Sep 2004,31 May 2012
Jamaica,25 Sep 2008,25 Sep 2008
Kyrgyzstan,,29 Sep 2003 a
Lesotho,24 Sep 2004,16 Sep 2005
Liberia,22 Sep 2004,
Libya,,18 Jun 2004 a
Madagascar,24 Sep 2014,
Mali,,5 Jun 2003 a
Mauritania,,22 Jan 2007 a
Mexico,22 May 1991,8 Mar 1999
Montenegro,23 Oct 2006 d,
Morocco,15 Aug 1991,21 Jun 1993
Mozambique,15 Mar 2012,19 Aug 2013
Nicaragua,,26 Oct 2005 a
Niger,,18 Mar 2009 a
Nigeria,,27 Jul 2009 a
Palau,20 Sep 2011,
Paraguay,13 Sep 2000,23 Sep 2008
Peru,22 Sep 2004,14 Sep 2005
Philippines,15 Nov 1993,5 Jul 1995
Rwanda,,15 Dec 2008 a
Sao Tome and Principe,6 Sep 2000,
Senegal,,9 Jun 1999 a
Serbia,11 Nov 2004,
Seychelles,,15 Dec 1994 a
Sierra Leone,15 Sep 2000,
Sri Lanka,,11 Mar 1996 a
St. Vincent and the Grenadines,,29 Oct 2010 a
Syrian Arab Republic,,2 Jun 2005 a
Tajikistan,7 Sep 2000,8 Jan 2002
Timor-Leste,,30 Jan 2004 a
Togo,15 Nov 2001,
Turkey,13 Jan 1999,27 Sep 2004
Uganda,,14 Nov 1995 a
Uruguay,,15 Feb 2001 a
Venezuela (Bolivarian Republic of),4 Oct 2011,
