Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,,24 Sep 2003 a
Albania,,22 Jan 2002 a
Algeria,17 Dec 1998,8 Nov 2001
Andorra,,23 Sep 2004 a
Antigua and Barbuda,,24 Sep 2009 a
Argentina,2 Sep 1998,25 Sep 2003
Armenia,,16 Mar 2004 a
Australia,,9 Aug 2002 a
Austria,9 Feb 1998,6 Sep 2000
Azerbaijan,,2 Apr 2001 a
Bahamas,,5 May 2008 a
Bahrain,,21 Sep 2004 a
Bangladesh,,20 May 2005 a
Barbados,,18 Sep 2002 a
Belarus,20 Sep 1999,1 Oct 2001
Belgium,12 Jan 1998,20 May 2005
Belize,,14 Nov 2001 a
Benin,,31 Jul 2003 a
Bolivia (Plurinational State of),,22 Jan 2002 a
Bosnia and Herzegovina,,11 Aug 2003 a
Botswana,,8 Sep 2000 a
Brazil,12 Mar 1999,23 Aug 2002
Brunei Darussalam,,14 Mar 2002 a
Bulgaria,,12 Feb 2002 a
Burkina Faso,,1 Oct 2003 a
Burundi,4 Mar 1998,
Cambodia,,31 Jul 2006 a
Cameroon,,21 Mar 2005 a
Canada,12 Jan 1998,3 Apr 2002
Cape Verde,,10 May 2002 a
Central African Republic,,19 Feb 2008 a
Chile,,10 Nov 2001 a
China,,13 Nov 2001 a
Colombia,,14 Sep 2004 a
Comoros,1 Oct 1998,25 Sep 2003
Costa Rica,16 Jan 1998,20 Sep 2001
Côte d'Ivoire,25 Sep 1998,13 Mar 2002
Croatia,,2 Jun 2005 a
Cuba,,15 Nov 2001 a
Cyprus,26 Mar 1998,24 Jan 2001
Czech Republic,29 Jul 1998,6 Sep 2000
Democratic Republic of the Congo,,27 Jun 2008 a
Denmark,23 Dec 1999,31 Aug 2001
Djibouti,,1 Jun 2004 a
Dominica,,24 Sep 2004 a
Dominican Republic,,21 Oct 2008 a
Egypt,14 Dec 1999,9 Aug 2005
El Salvador,,15 May 2003 a
Equatorial Guinea,,7 Feb 2003 a
Estonia,27 Dec 1999,10 Apr 2002
Ethiopia,,16 Apr 2003 a
Fiji,,15 May 2008 a
Finland,23 Jan 1998,28 May 2002 A
France,12 Jan 1998,19 Aug 1999
Gabon,,10 Mar 2005 a
Georgia,,18 Feb 2004 a
Germany,26 Jan 1998,23 Apr 2003
Ghana,,6 Sep 2002 a
Greece,2 Feb 1998,27 May 2003
Grenada,,13 Dec 2001 a
Guatemala,,12 Feb 2002 a
Guinea,,7 Sep 2000 a
Guinea-Bissau,,6 Aug 2008 a
Guyana,,12 Sep 2007 a
Honduras,,25 Mar 2003 a
Hungary,21 Dec 1999,13 Nov 2001
Iceland,28 Sep 1998,15 Apr 2002
India,17 Sep 1999,22 Sep 1999
Indonesia,,29 Jun 2006 a
Iraq,,30 Jul 2013 a
Ireland,29 May 1998,30 Jun 2005
Israel,29 Jan 1999,10 Feb 2003
Italy,4 Mar 1998,16 Apr 2003
Jamaica,,9 Aug 2005 a
Japan,17 Apr 1998,16 Nov 2001 A
Kazakhstan,,6 Nov 2002 a
Kenya,,16 Nov 2001 a
Kiribati,,15 Sep 2005 a
Kuwait,,19 Apr 2004 a
Kyrgyzstan,,1 May 2001 a
Lao People's Democratic Republic,,22 Aug 2002 a
Latvia,,25 Nov 2002 a
Lesotho,,12 Nov 2001 a
Liberia,,5 Mar 2003 a
Libya,,22 Sep 2000 a
Liechtenstein,,26 Nov 2002 a
Lithuania,8 Jun 1998,17 Mar 2004
Luxembourg,6 Feb 1998,6 Feb 2004
Madagascar,1 Oct 1999,24 Sep 2003
Malawi,,11 Aug 2003 a
Malaysia,,24 Sep 2003 a
Maldives,,7 Sep 2000 a
