Participant,Signature,"Ratification, Accession(a), Acceptance(A)"
Afghanistan,23 Aug 1978,23 Dec 1999 A
Bangladesh,14 Sep 1977,11 Aug 1981
Bhutan,,5 Jun 2000 a
Brunei Darussalam,,6 Dec 1988 a
Cambodia,,10 Jul 2001 a
China,,5 Feb 1988 a
Fiji,2 Jun 1978,26 Mar 1981
France,,14 Dec 1988 a
India,20 May 1980,25 Feb 1986
Indonesia,12 Aug 1978,31 Aug 1989
Iran (Islamic Republic of),,18 Nov 1996 a
Lao People's Democratic Republic,,12 Sep 1986 a
Malaysia,11 Oct 1978,10 Nov 1980
Maldives,,25 Jun 1985 a
Micronesia (Federated States of),,28 Dec 1993 a
Myanmar,,29 Jul 1999 a
Nepal,15 May 1980,11 Sep 1980
Pakistan,10 Apr 1978,7 Jul 1981
Papua New Guinea,9 Mar 1978,1 May 1980
Philippines,12 Sep 1977,11 Sep 1986 A
Republic of Korea,11 Oct 1978,6 Mar 1981
Samoa,,25 Nov 1999 a
Singapore,,29 Jun 1982 a
Sri Lanka,15 Sep 1978,7 Nov 1988
Thailand,25 Apr 1981,11 Sep 1986 A
Viet Nam,8 Sep 1978,23 Feb 1981 A
