Participant,Signature,"Accession(a), Succession(d), Ratification"
Albania,,23 Jun 2003 a
Algeria,,15 Jul 1964 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,,1 Jun 1972 a
Armenia,,18 May 1994 a
Australia,,13 Dec 1973 a
Austria,,8 Feb 2008 a
Azerbaijan,,16 Aug 1996 a
Barbados,,6 Mar 1972 d
Belgium,28 Sep 1954,27 May 1960
Belize,,14 Sep 2006 a
Benin,,8 Dec 2011 a
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,25 Feb 1969 d
Brazil,28 Sep 1954,13 Aug 1996
Bulgaria,,22 Mar 2012 a
Burkina Faso,,1 May 2012 a
Chad,,12 Aug 1999 a
China,,
Colombia,30 Dec 1954,
Costa Rica,28 Sep 1954,2 Nov 1977
Côte d'Ivoire,,3 Oct 2013 a
Croatia,,12 Oct 1992 d
Czech Republic,,19 Jul 2004 a
Denmark,28 Sep 1954,17 Jan 1956
Ecuador,28 Sep 1954,2 Oct 1970
El Salvador,28 Sep 1954,
Fiji,,12 Jun 1972 d
Finland,,10 Oct 1968 a
France,12 Jan 1955,8 Mar 1960
Gambia,,1 Jul 2014 a
Georgia,,23 Dec 2011 a
Germany,28 Sep 1954,26 Oct 1976
Greece,,4 Nov 1975 a
Guatemala,28 Sep 1954,28 Nov 2000
Guinea,,21 Mar 1962 a
Holy See,28 Sep 1954,
Honduras,28 Sep 1954,1 Oct 2012
Hungary,,21 Nov 2001 a
Ireland,,17 Dec 1962 a
Israel,1 Oct 1954,23 Dec 1958
Italy,20 Oct 1954,3 Dec 1962
Kiribati,,29 Nov 1983 d
Latvia,,5 Nov 1999 a
Lesotho,,4 Nov 1974 d
Liberia,,11 Sep 1964 a
Libya,,16 May 1989 a
Liechtenstein,28 Sep 1954,25 Sep 2009
Lithuania,,7 Feb 2000 a
Luxembourg,28 Oct 1955,27 Jun 1960
Madagascar,,20 Feb 1962 a
Malawi,,7 Oct 2009 a
Mexico,,7 Jun 2000 a
Montenegro,,23 Oct 2006 d
Netherlands,28 Sep 1954,12 Apr 1962
Nicaragua,,15 Jul 2013 a
Nigeria,,20 Sep 2011 a
Norway,28 Sep 1954,19 Nov 1956
Panama,,2 Jun 2011 a
Paraguay,,1 Jul 2014 a
Peru,,23 Jan 2014 a
Philippines,22 Jun 1955,22 Sep 2011
Portugal,,1 Oct 2012 a
Republic of Korea,,22 Aug 1962 a
Republic of Moldova,,19 Apr 2012 a
Romania,,27 Jan 2006 a
Rwanda,,4 Oct 2006 a
Senegal,,21 Sep 2005 a
Serbia,,12 Mar 2001 d
Slovakia,,3 Apr 2000 a
Slovenia,,6 Jul 1992 d
Spain,,12 May 1997 a
St. Vincent and the Grenadines,,27 Apr 1999 d
Swaziland,,16 Nov 1999 a
Sweden,28 Sep 1954,2 Apr 1965
Switzerland,28 Sep 1954,3 Jul 1972
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,,29 Jul 1969 a
Turkmenistan,,7 Dec 2011 a
Uganda,,15 Apr 1965 a
Ukraine,,25 Mar 2013 a
United Kingdom of Great Britain and Northern Ireland,28 Sep 1954,16 Apr 1959
Uruguay,,2 Apr 2004 a
Zambia,,1 Nov 1974 d
Zimbabwe,,1 Dec 1998 d
