Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Afghanistan,,12 Nov 1947 s
Albania,,25 Jul 1949 A
Australia,,13 Nov 1947 s
Austria,,4 Aug 1950 s
Belgium,,12 Nov 1947 s
Brazil,17 Mar 1948,3 Apr 1950 A
Canada,,24 Nov 1947 s
China,,12 Nov 1947 s
Cuba,,2 Dec 1983 A
Czech Republic,,30 Dec 1993 d
Denmark,12 Nov 1947,21 Nov 1949 A
Egypt,,12 Nov 1947 s
Fiji,,1 Nov 1971 d
Finland,,6 Jan 1949 A
Greece,9 Mar 1951,5 Apr 1960 A
Guatemala,9 Jul 1948,26 Aug 1949 A
Hungary,,2 Feb 1950 s
India,,12 Nov 1947 s
Iran (Islamic Republic of),16 Jul 1953,
Ireland,,28 Feb 1952 A
Italy,,16 Jun 1949 s
Luxembourg,12 Nov 1947,14 Mar 1955 A
Mexico,,4 Feb 1948 A
Myanmar,,13 May 1949 s
Netherlands,12 Nov 1947,7 Mar 1949 A
New Zealand,,28 Oct 1948 s
Norway,12 Nov 1947,28 Nov 1947 A
Pakistan,,12 Nov 1947 s
Poland,,21 Dec 1950 A
Romania,,2 Nov 1950 s
Russian Federation,,18 Dec 1947 s
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Solomon Islands,,3 Sep 1981 d
South Africa,,12 Nov 1947 s
Turkey,,12 Nov 1947 s
United Kingdom of Great Britain and Northern Ireland,,16 May 1949 s
