Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Afghanistan,,6 Mar 2013 a
Albania,,9 Aug 2010 a
Angola,11 Sep 1998,
Antigua and Barbuda,,23 Aug 2010 a
Argentina,11 Sep 1998,11 Jun 2004
Armenia,11 Sep 1998,26 Nov 2003
Australia,6 Jul 1999,20 May 2004
Austria,11 Sep 1998,27 Aug 2002
Bahrain,,16 Apr 2012 a
Barbados,11 Sep 1998,
Belgium,11 Sep 1998,23 Oct 2002
Belize,,20 Apr 2005 a
Benin,11 Sep 1998,5 Jan 2004
Bolivia (Plurinational State of),,18 Dec 2003 a
Bosnia and Herzegovina,,19 Mar 2007 a
Botswana,,5 Feb 2008 a
Brazil,11 Sep 1998,16 Jun 2004
Bulgaria,,25 Jul 2000 a
Burkina Faso,11 Sep 1998,11 Nov 2002
Burundi,,23 Sep 2004 a
Cambodia,,1 Mar 2013 a
Cameroon,11 Sep 1998,20 May 2002
Canada,,26 Aug 2002 a
Cape Verde,,1 Mar 2006 a
Chad,11 Sep 1998,10 Mar 2004
Chile,11 Sep 1998,20 Jan 2005
China,24 Aug 1999,22 Mar 2005
Colombia,11 Sep 1998,3 Dec 2008
Congo,11 Sep 1998,13 Jul 2006
Cook Islands,,29 Jun 2004 a
Costa Rica,17 Aug 1999,13 Aug 2009
Côte d'Ivoire,11 Sep 1998,20 Jan 2004
Croatia,,16 Nov 2007 a
Cuba,11 Sep 1998,22 Feb 2008
Cyprus,11 Sep 1998,17 Dec 2004
Czech Republic,22 Jun 1999,12 Jun 2000
Democratic People's Republic of Korea,,6 Feb 2004 a
Democratic Republic of the Congo,,23 Mar 2005
Denmark,11 Sep 1998,15 Jan 2004
Djibouti,,10 Nov 2004 a
Dominica,,30 Dec 2005 a
Dominican Republic,,24 Mar 2006 a
Ecuador,11 Sep 1998,4 May 2004
El Salvador,16 Feb 1999,8 Sep 1999
Equatorial Guinea,,7 Feb 2003 a
Eritrea,,10 Mar 2005 a
Estonia,,13 Jun 2006 a
Ethiopia,,9 Jan 2003 a
European Union,11 Sep 1998,20 Dec 2002 AA
Finland,11 Sep 1998,4 Jun 2004 A
France,11 Sep 1998,17 Feb 2004 AA
Gabon,,18 Dec 2003 a
Gambia,,26 Feb 2002 a
Georgia,,27 Feb 2007 a
Germany,11 Sep 1998,11 Jan 2001
Ghana,11 Sep 1998,30 May 2003
Greece,11 Sep 1998,23 Dec 2003
Guatemala,,19 Apr 2010 a
Guinea,,7 Sep 2000 a
Guinea-Bissau,10 Sep 1999,12 Jun 2008
Guyana,,25 Jun 2007 a
Honduras,,26 Sep 2011 a
Hungary,10 Sep 1999,31 Oct 2000
India,,24 May 2005 a
Indonesia,11 Sep 1998,
Iran (Islamic Republic of),17 Feb 1999,26 Aug 2004
Ireland,,10 Jun 2005 a
Israel,20 May 1999,3 Oct 2011
Italy,11 Sep 1998,27 Aug 2002
Jamaica,,20 Aug 2002 a
Japan,31 Aug 1999,15 Jun 2004 A
Jordan,,22 Jul 2002 a
Kazakhstan,,1 Nov 2007 a
Kenya,11 Sep 1998,3 Feb 2005
Kuwait,11 Sep 1998,12 May 2006
Kyrgyzstan,11 Aug 1999,25 May 2000
Lao People's Democratic Republic,,21 Sep 2010 a
Latvia,,23 Apr 2003 a
Lebanon,,13 Nov 2006 a
Lesotho,,30 May 2008 a
Liberia,,22 Sep 2004 a
Libya,,9 Jul 2002 a
Liechtenstein,,18 Jun 2004 a
Lithuania,,17 Mar 2004 a
Luxembourg,11 Sep 1998,28 Aug 2002
Madagascar,8 Dec 1998,22 Sep 2004
Malawi,,27 Feb 2009 a
Malaysia,,4 Sep 2002 a
Maldives,,17 Oct 2006 a
Mali,11 Sep 1998,5 Jun 2003
Marshall Islands,,27 Jan 2003 a
Mauritania,1 Sep 1999,22 Jul 2005 A
Mauritius,,5 Aug 2005 a
Mexico,,4 May 2005 a
Mongolia,11 Sep 1998,8 Mar 2001
Montenegro,,30 Dec 2011 a
Morocco,,25 Apr 2011 a
Mozambique,,15 Apr 2010 a
Namibia,11 Sep 1998,24 Jun 2005
Nepal,,9 Feb 2007 a
Netherlands,11 Sep 1998,20 Apr 2000 A
New Zealand,11 Sep 1998,23 Sep 2003
Nicaragua,,19 Sep 2008 a
Niger,,16 Feb 2006 a
Nigeria,,28 Jun 2001 a
Norway,11 Sep 1998,25 Oct 2001 A
Oman,,31 Jan 2000 a
Pakistan,9 Sep 1999,14 Jul 2005
Panama,11 Sep 1998,18 Aug 2000
Paraguay,11 Sep 1998,18 Aug 2003
Peru,11 Sep 1998,14 Sep 2005
Philippines,11 Sep 1998,31 Jul 2006
Poland,,14 Sep 2005 a
Portugal,11 Sep 1998,16 Feb 2005 AA
Qatar,,10 Dec 2004 a
Republic of Korea,7 Sep 1999,11 Aug 2003
Republic of Moldova,,27 Jan 2005 a
Romania,,2 Sep 2003 a
Russian Federation,,28 Apr 2011 a
Rwanda,,7 Jan 2004 a
Samoa,,30 May 2002 a
Sao Tome and Principe,,23 May 2013 a
Saudi Arabia,,7 Sep 2000 a
Senegal,11 Sep 1998,20 Jul 2001
Serbia,,31 Jul 2009 a
Seychelles,11 Sep 1998,
Singapore,,24 May 2005 a
Slovakia,,26 Jan 2007 a
Slovenia,11 Sep 1998,17 Nov 1999
Somalia,,26 Jul 2010 a
South Africa,,4 Sep 2002 a
Spain,11 Sep 1998,2 Mar 2004
Sri Lanka,,19 Jan 2006 a
St. Kitts and Nevis,,14 Aug 2012 a
St. Lucia,25 Jan 1999,
St. Vincent and the Grenadines,,29 Oct 2010 a
Sudan,,17 Feb 2005 a
Suriname,,30 May 2000 a
Swaziland,,24 Sep 2012 a
Sweden,11 Sep 1998,10 Oct 2003
Switzerland,11 Sep 1998,10 Jan 2002
Syrian Arab Republic,11 Sep 1998,24 Sep 2003
Tajikistan,28 Sep 1998,
Thailand,,19 Feb 2002 a
The former Yugoslav Republic of Macedonia,,12 Aug 2010 a
Togo,9 Sep 1999,23 Jun 2004
Tonga,,31 Mar 2010 a
Trinidad and Tobago,,16 Dec 2009 a
Tunisia,11 Sep 1998,
Turkey,11 Sep 1998,
Uganda,,18 Aug 2008 a
Ukraine,,6 Dec 2002 a
United Arab Emirates,,10 Sep 2002 a
United Kingdom of Great Britain and Northern Ireland,11 Sep 1998,17 Jun 2004
United Republic of Tanzania,11 Sep 1998,26 Aug 2002
United States of America,11 Sep 1998,
Uruguay,11 Sep 1998,4 Mar 2003
Venezuela (Bolivarian Republic of),,19 Apr 2005 a
Viet Nam,,7 May 2007 a
Yemen,,4 Feb 2006 a
Zambia,,28 Jan 2011 a
Zimbabwe,,1 Mar 2012 a
